Mon;Sun;Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020-03-02;2020-03-08;2020;10;897;43;0.52954292084726873;0.47045707915273133;836;8.3732057416267949E-2;809;165;0.20395550061804696;12;1.337792642E-2
2020-03-09;2020-03-15;2020;11;6429;45;0.56262641979150463;0.43737358020849543;5765;5.3252385082393758E-2;5631;532;9.4477002308648556E-2;84;1.306579561E-2
2020-03-16;2020-03-22;2020;12;22408;45;0.54983032684407929;0.45016967315592071;20154;3.890046640865337E-2;19375;2230;0.11509677419354838;474;2.1153159580000001E-2
2020-03-23;2020-03-29;2020;13;33970;48;0.49490367053555645;0.50509632946444349;30824;3.2961328834674279E-2;29528;5145;0.17424139799512328;1460;4.2979099200000002E-2
2020-03-30;2020-04-05;2020;14;36052;51;0.45079805690492714;0.54920194309507286;32035;5.553301076947089E-2;31617;6091;0.19264952399025839;2258;6.2631754129999995E-2
2020-04-06;2020-04-12;2020;15;27156;52;0.43468642849242339;0.56531357150757655;23579;8.4609186140209514E-2;24149;4730;0.19586732369870388;1876;6.9082339069999998E-2
2020-04-13;2020-04-19;2020;16;17342;51;0.44709345956243146;0.55290654043756859;14877;0.115;15529;3378;0.21752849507373301;1217;7.0176450230000006E-2
2020-04-20;2020-04-26;2020;17;12359;50;0.44976502997893369;0.55023497002106625;10270;0.139;10983;2240;0.20395156150414276;723;5.8499878630000002E-2
2020-04-27;2020-05-03;2020;18;7438;48;0.4778689627337549;0.5221310372662451;6258;0.176;6610;1365;0.20650529500756429;386;5.1895670870000001E-2
2020-05-04;2020-05-10;2020;19;6239;47;0.48034654259586074;0.51965345740413926;5253;0.197;5631;1082;0.19215059492097319;257;4.1192498789999997E-2
2020-05-11;2020-05-17;2020;20;4761;45;0.4952681388012618;0.50473186119873814;3946;0.232;4243;763;0.17982559509780816;164;3.4446544840000003E-2
2020-05-18;2020-05-24;2020;21;3601;44;0.50306406685236771;0.49693593314763229;2836;0.265;3119;513;0.16447579352356526;113;3.1380172169999998E-2
2020-05-25;2020-05-31;2020;22;3207;42;0.51580594679186231;0.48419405320813774;2550;0.233;2771;422;0.15229159148321905;65;2.026816339E-2
2020-06-01;2020-06-07;2020;23;2351;39;0.50639386189258317;0.49360613810741688;1838;0.232;2080;308;0.14807692307692308;45;1.9140791149999999E-2
2020-06-08;2020-06-14;2020;24;2342;37;0.5353925353925354;0.4646074646074646;1744;0.244;2088;288;0.13793103448275862;33;1.409052092E-2
2020-06-15;2020-06-21;2020;25;4126;36;0.58790675084992716;0.41209324915007284;2939;0.251;3772;319;8.4570519618239665E-2;41;9.9369849699999999E-3
2020-06-22;2020-06-28;2020;26;3211;37;0.55129404427814155;0.44870595572185845;2330;0.233;2862;296;0.103424178895877;23;7.1628776E-3
2020-06-29;2020-07-05;2020;27;2690;36;0.52138341390851617;0.47861658609148383;2066;0.267;2463;259;0.10515631343889566;26;9.6654275000000005E-3
2020-07-06;2020-07-12;2020;28;2426;36;0.55885997521685249;0.44114002478314746;1934;0.239;2193;256;0.11673506611947104;25;1.030502885E-2
2020-07-13;2020-07-19;2020;29;3016;36;0.52475905616483887;0.47524094383516119;2361;0.230;2647;317;0.11975821684926331;30;9.9469495999999994E-3
2020-07-20;2020-07-26;2020;30;3929;36;0.52334779280428678;0.47665220719571322;3183;0.274;3478;334;9.6032202415181137E-2;33;8.3990837299999996E-3
2020-07-27;2020-08-02;2020;31;4823;36;0.50207727461570417;0.49792272538429583;3716;0.246;4175;389;9.3173652694610781E-2;32;6.6348745500000002E-3
2020-08-03;2020-08-09;2020;32;6054;34;0.53689609530112503;0.46310390469887491;4553;0.300;5286;398;7.5293227393113879E-2;31;5.1205814299999999E-3
2020-08-10;2020-08-16;2020;33;7949;32;0.53422412706416234;0.46577587293583766;5856;0.332;7009;438;6.2491082893422742E-2;30;3.7740596299999998E-3
2020-08-17;2020-08-23;2020;34;9591;32;0.5473993288590604;0.4526006711409396;7213;0.345;8310;434;5.2226233453670279E-2;30;3.12793243E-3
