Jahr;insgesamt;männlich;weiblich;Ausländer;Ausl. Anteil in %;Ausl. männlich; Ausl. weiblich
1970;61001164;29071621;31929543;2737905;4,488;1702056;1035849
1971;61502503;29367427;32135076;3187857;5,183;1961982;1225875
1972;61809378;29533254;32276124;3554078;5,750;2149389;1404689
1973;62101369;29713753;32387616;3991352;6,427;2394845;1596507
1974;61991475;29604450;32387025;4050962;6,535;2359955;1691007
1975;61644624;29381500;32263124;3900484;6,327;2223937;1676547
1976;61441996;29262796;32179200;3852182;6,270;2169488;1682694
1977;61352745;29216516;32136229;3892226;6,344;2175661;1716565
1978;61321663;29214271;32107392;4005819;6,532;2232150;1773669
1979;61439342;29317070;32122272;4250648;6,918;2381544;1869104
1980;61657945;29481033;32176912;4566167;7,406;2576151;1990016
1981;61712689;29522856;32189833;4721120;7,650;2647923;2073197
1982;61546101;29427855;32118246;4671838;7,591;2589236;2082602
1983;61306669;29305788;32000881;4574156;7,461;2513995;2060161
1984;61049256;29179721;31869535;4405463;7,216;2406195;1999268
1985;61020474;29190016;31830458;4481618;7,344;2442815;2038803
1986;61140461;29285381;31855080;4661880;7,625;2537866;2124014
1987;61238079;29419390;31818689;4286472;7,000;2366129;1920343
1988;61715103;29693115;32021988;4623528;7,492;2537246;2086282
1989;62679035;30236438;32442597;5007161;7,989;2741058;2266103
1990;79753227;38499977;41253250;5582357;7,000;3080647;2501710
1991;80274564;38839103;41435461;6066730;7,557;3354736;2711994
1992;80974632;39300081;41674551;6669568;8,237;3720602;2948966
1993;81338093;39518484;41819609;6977476;8,578;3866081;3111395
1994;81538603;39644965;41893638;7117740;8,729;3915513;3202227
1995;81817499;39824823;41992676;7342779;8,975;4026890;3315889
1996;82012162;39954835;42057327;7491650;9,135;4088161;3403489
1997;82057379;39992311;42065068;7419001;9,041;4022485;3396516
1998;82037011;40004142;42032869;7308477;8,909;3945202;3363275
1999;82163475;40090776;42072699;7336111;8,929;3938085;3398026
2000;82259540;40156536;42103004;7267568;8,835;3874185;3393383
2001;82440309;40274676;42165633;7318263;8,877;3881034;3437229
2002;82536680;40344879;42191801;7347951;8,903;3871087;3476864
2003;82531671;40356014;42175657;7341820;8,896;3840068;3501752
2004;82500849;40353627;42147222;7287980;8,834;3786456;3501524
2005;82437995;40339961;42098034;7289149;8,842;3766501;3522648
2006;82314906;40301166;42013740;7255949;8,815;3737409;3518540
2007;82217837;40274292;41943545;7255395;8,825;3726108;3529287
2008;82002356;40184283;41818073;7185921;8,763;3674839;3511082
2009;81802257;40103606;41698651;7130919;8,717;3632526;3498393
2010;81751602;40112425;41639177;7198946;8,806;3668990;3529956
2011;80327900;39229947;41097953;6342394;7,896;3190685;3151709
2012;80523746;39380976;41142770;6643699;8,251;3363448;3280251
2013;80767463;39556923;41210540;7015236;8,686;3575058;3440178
2014;81197537;39835457;41362080;7539774;9,286;3880215;3659559
2015;82175684;40514123;41661561;8651958;10,529;4604145;4047813
2016;82521653;40697118;41824535;9219989;11,173;4909464;4310525
2017;82792351;40843565;41948786;9678868;11,691;5147120;4531748
2018;83019213;40966691;42052522;10089292;12,153;5354001;4735291
# Quelle:;https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Bevoelkerungsstand/Publikationen/Downloads-Bevoelkerungsstand/bevoelkerungsfortschreibung-2010130187005.xlsx?__blob=publicationFile
# bis 1989; altes Bundesgebiet
# ab 1990; Gesamtdeutschland
