Stand: 29.03.2021;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Sterbefälle nach Monaten und Altersgruppen 2016 bis 2021 in Deutschland;;;;;;;;;;;;;
;;;Ergebnisse für die Jahre 2020 und 2021 aus Rohdaten;;;;;;;;;;;;;
;;;Weiblich;;;;;;;;;;;;;

Lfd.;Jahr;Alter von ... bis;Monate;;;;;;;;;;;;Insgesamt;
Nr.;;unter … Jahren;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;;
1;2021;Insgesamt;53195;40494;;;;;;;;;;;;
2;2021;0-15;121;100;;;;;;;;;;;;
3;2021;15-30;94;84;;;;;;;;;;;;
4;2021;30-35;73;57;;;;;;;;;;;;
5;2021;35-40;115;112;;;;;;;;;;;;
6;2021;40-45;176;132;;;;;;;;;;;;
7;2021;45-50;306;266;;;;;;;;;;;;
8;2021;50-55;671;579;;;;;;;;;;;;
9;2021;55-60;1168;1002;;;;;;;;;;;;
10;2021;60-65;1716;1378;;;;;;;;;;;;
11;2021;65-70;2422;1972;;;;;;;;;;;;
12;2021;70-75;3028;2537;;;;;;;;;;;;
13;2021;75-80;5113;4100;;;;;;;;;;;;
14;2021;80-85;10557;7916;;;;;;;;;;;;
15;2021;85-90;11803;8793;;;;;;;;;;;;
16;2021;90-95;10618;7564;;;;;;;;;;;;
17;2021;95 u. mehr;5214;3902;;;;;;;;;;;;
18;2020;Insgesamt;42845;40281;43798;41769;37810;35833;36678;39740;37228;39552;42631;54436;492516;
19;2020;0-15;127;155;147;138;124;134;127;118;129;127;130;117;1570;
20;2020;15-30;97;92;97;76;91;88;89;102;95;99;92;97;1114;
21;2020;30-35;75;63;88;74;65;66;88;71;83;68;59;65;865;
22;2020;35-40;142;112;100;127;116;110;107;102;98;114;107;131;1366;
23;2020;40-45;178;143;185;182;170;165;171;160;164;154;161;183;2016;
24;2020;45-50;333;274;307;319;298;275;289;281;287;274;281;317;3534;
25;2020;50-55;717;624;659;567;587;586;601;588;562;614;557;603;7264;
26;2020;55-60;1104;1053;1117;1063;1022;1051;1011;997;993;1041;1072;1135;12654;
27;2020;60-65;1547;1502;1514;1417;1447;1344;1392;1493;1428;1501;1440;1714;17732;
28;2020;65-70;2121;2028;2201;2025;1963;1830;1873;2041;1891;2097;1970;2350;24384;
29;2020;70-75;2585;2472;2724;2534;2398;2328;2336;2495;2437;2498;2657;3258;30715;
30;2020;75-80;4688;4567;4742;4569;4143;3795;4066;4158;3975;4141;4468;5240;52540;
31;2020;80-85;8090;7716;8238;8045;6987;6708;6922;7534;7092;7508;8248;10782;93853;
32;2020;85-90;8829;8149;9054;8776;8030;7420;7466;8178;7725;8231;9164;12178;103192;
33;2020;90-95;8219;7589;8458;7983;6962;6591;6782;7620;6753;7454;8233;10866;93500;
34;2020;95 u. mehr;3993;3742;4167;3874;3407;3342;3358;3802;3516;3631;3992;5400;46217;
35;2019;Insgesamt;42998;41031;44309;38941;37846;36562;38858;37102;35908;38687;39478;41915;473635;
36;2019;0-15;140;152;139;128;120;127;124;111;142;126;107;138;1554;
37;2019;15-30;95;97;104;92;107;75;103;93;91;90;89;108;1144;
38;2019;30-35;66;73;79;72;73;80;63;79;76;61;72;88;882;
39;2019;35-40;121;116;118;123;89;130;107;116;116;119;132;121;1408;
40;2019;40-45;170;158;160;140;158;142;150;150;141;179;161;157;1866;
41;2019;45-50;353;296;307;308;286;302;266;305;267;294;287;315;3586;
42;2019;50-55;685;673;666;637;621;640;662;616;668;621;648;607;7744;
43;2019;55-60;1064;1029;1084;1053;1079;998;1084;995;988;1022;1042;1097;12535;
44;2019;60-65;1496;1488;1622;1396;1438;1351;1395;1407;1331;1457;1448;1485;17314;
45;2019;65-70;2112;2083;2187;1931;1937;1834;2041;1900;1936;1953;1887;2173;23974;
46;2019;70-75;2593;2486;2712;2439;2373;2193;2382;2308;2263;2390;2368;2613;29120;
47;2019;75-80;5057;4731;5163;4650;4349;4256;4572;4394;4205;4505;4516;4643;55041;
48;2019;80-85;7926;7620;8387;7318;7101;6895;7355;6880;6652;7219;7451;7867;88671;
49;2019;85-90;9005;8460;9184;7948;7615;7494;7794;7534;7266;7866;8075;8688;96929;
50;2019;90-95;8104;7879;8403;7155;7125;6746;7246;6933;6606;7210;7595;7973;88975;
51;2019;95 u. mehr;4011;3690;3994;3551;3375;3299;3514;3281;3160;3575;3600;3842;42892;
52;2018;Insgesamt;43041;44167;56155;40497;37577;34611;38245;39751;35319;37094;37464;40921;484842;
53;2018;0-15;144;145;151;128;123;140;135;131;119;126;118;136;1596;
54;2018;15-30;118;106;117;114;95;108;87;112;89;94;84;104;1228;
55;2018;30-35;87;63;83;73;82;74;82;84;70;69;70;76;913;
56;2018;35-40;95;101;142;116;123;106;115;118;91;114;130;105;1356;
57;2018;40-45;153;190;208;178;157;154;166;149;131;164;145;165;1960;
58;2018;45-50;362;351;401;321;347;327;325;321;318;335;318;305;4031;
59;2018;50-55;679;684;756;667;633;647;670;679;621;649;637;660;7982;
60;2018;55-60;1142;1076;1311;1004;1050;955;1018;1050;990;1019;1023;1098;12736;
61;2018;60-65;1545;1519;1874;1449;1417;1333;1388;1398;1357;1415;1405;1506;17606;
62;2018;65-70;2094;2105;2612;2038;1974;1780;1951;2014;1838;1933;1917;2016;24272;
63;2018;70-75;2583;2688;3278;2544;2295;2214;2407;2364;2163;2362;2298;2486;29682;
64;2018;75-80;5287;5366;6677;4880;4559;4303;4581;4825;4276;4506;4628;4899;58787;
65;2018;80-85;7485;7688;9827;7141;6689;6218;6794;7291;6400;6754;6821;7555;86663;
66;2018;85-90;9165;9209;12199;8531;7845;6959;7923;8300;7261;7564;7724;8411;101091;
67;2018;90-95;8221;8701;11162;7705;6940;6340;7234;7486;6527;6769;6846;7746;91677;
68;2018;95 u. mehr;3881;4175;5357;3608;3248;2953;3369;3429;3068;3221;3300;3653;43262;
