<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Grundzahlen";;;;;;;;;;
;Einheit;  2018  ;  2019  ;  2020  ;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
Außenhandel1;;;;;;;;;;
Ausfuhr insgesamt ;Mill. EUR;1317440.161;1328151.565;1205139.391;91258.938;109854.671;112190.652;111837.424;100973.774;98227.995
Warengruppen:;;;;;;;;;;
Ernährungswirtschaft ;Mill. EUR;71624.827;73955.292;72549.611;5910.847;6116.916;6222.514;6051.539;5637.242;5411.692
Gewerbliche Wirtschaft ;Mill. EUR;1222709.887;1229904.783;1104712.618;83109.257;101045.96;102766.907;102713.883;91242.021;88931.675
Rohstoffe ;Mill. EUR;16136.119;18644.824;14283.13;1034.161;1253.892;1187.09;1398.599;1291.225;1472.206
Halbwaren ;Mill. EUR;61770.168;63695.468;58949.657;4762.145;5381.819;5169.445;5187.425;4746.802;5373.377
Fertigwaren ;Mill. EUR;1144803.6;1147564.491;1031479.831;77312.951;94410.249;96410.372;96127.859;85203.994;82086.092
Vorerzeugnisse ;Mill. EUR;138821.343;134722.58;122761.948;9040.861;10595.206;10725.009;11015.298;9061.853;11069.297
Enderzeugnisse ;Mill. EUR;1005982.257;1012841.911;908717.883;68272.09;83815.043;85685.363;85112.561;76142.141;71016.795
Ländergruppen (Bestimmungsländer);;;;;;;;;;
Europa ;Mill. EUR;900127.413;902815.508;823299.274;63165.243;76570.578;77566.561;77057.55;65933.963;68173.191
darunter:;;;;;;;;;;
EU-Länder (EU-27) ;Mill. EUR;775036.475;773691.922;698175.939;53512.283;65239.209;65943.002;65778.582;56477.202;58655.676
dar.: Länder der Eurozone ;Mill. EUR;492469.34;492308.299;441088.147;32368.545;41142.983;41162.84;41260.387;35930.005;38178.45
EFTA-Länder ;Mill. EUR;64437.835;66564.985;65646.954;5030.55;5727.92;5732.366;5888.153;4664.352;5300.284
Afrika ;Mill. EUR;22537.273;23643.355;20058.273;1453.953;1718.46;1750.055;1765.086;1760.214;1653.77
Amerika ;Mill. EUR;158952.175;165602.142;141705.932;10618.1;12707.61;13364.598;12826.5;12308.735;11562.905
dar.: NAFTA-Länder ;Mill. EUR;137385.317;143284.809;124428.549;9358.611;11216.23;11873.225;11294.569;10838.014;10140.115
Asien ;Mill. EUR;219716.031;221277.717;207715.391;15126.745;17853.491;18466.722;19045.359;19929.128;15979.729
dar.: ASEAN-Länder ;Mill. EUR;28173.342;27842.298;22349.143;1556.47;1720.911;1891.143;1891.085;1838.549;1817.761
Australien, Ozeanien und übrige Gebiete ;Mill. EUR;16107.252;14812.848;12360.528;894.898;1004.529;1042.722;1142.927;1041.73;858.405
Einfuhr- (-) bzw. Ausfuhrüberschuss (+) ;Mill. EUR;228719.751;224010.494;179764.651;11853.98;20179.513;19659.191;16669.496;15175.832;13845.282
;;;;;;;;;;
;;  2018  ;  2019  ;  2020  ;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;;;;;;;;;;
Index der tatsächlichen Werte ;;;;;;;;;;
Einfuhr ;2010 = 100;135.300000;137.300000;124.300000;114.400000;126.200000;132.600000;133.200000;120.400000;120.100000
Ausfuhr ;2010 = 100;137.300000;137.400000;121.300000;109.300000;129.500000;132.100000;131.500000;119.200000;116.100000
Index des Volumens;;;;;;;;;;
