<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Bevölkerungsstand und Bevölkerungsbewegung";;;;;;;;;;
;Einheit;  2017  ;  2018  ;  2019  ;2. Vj 20;3. Vj 20;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 
Deutschland;;;;;;;;;;
Absolute Zahlen ;;;;;;;;;;
Bevölkerungsstand1, 2 ...........................................................................................................;1 000;82792.351;83019;83167;83123;83191;83160;83191;83218;83215
dar.: Ausländer/-innen ;1 000;9678.868;10089;10398;10461;10540;10505;10540;10580;10599
Wanderungen2, 3, 4 ;;;;;;;;;;
Zuzüge ;Anzahl;1550721;1578867;1558612;196293;358613;118373;128322;133356;99222
dar.: Ausländer/-innen ;Anzahl;1384018;1382345;1345943;155584;299636;98184;109935;115678;85068
Fortzüge ;Anzahl;1134641;1192667;1231552;189718;274057;92431;92531;92017;76398
dar.: Ausländer/-innen ;Anzahl;885460;927256;961258;145413;208364;69898;70259;71262;59054
Überschuss der Zu- (+) bzw. ;;;;;;;;;;
Fortzüge (-) ;Anzahl;416080;386200;327060;6575;84556;25942;35791;41339;22824
dar.: Ausländer/-innen ;Anzahl;498558;455089;384685;10171;91272;28286;39676;44416;26014
;;;;;;;;;;
;;  2017  ;  2018  ;  2019  ;2. Vj 20;3. Vj 20;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 
;;;;;;;;;;
Natürliche Bevölkerungsbewegung4, 5;;;;;;;;;;
Eheschließungen ;Anzahl;407466;449466;416324;90015;137065;49311;44056;42600;20555
Ehescheidungen6 ...........................................................................................................;Anzahl;153501;148066;149010;-;-;-;-;-;-
Lebendgeborene ;Anzahl;784884;787523;778090;191879;210213;69976;69816;66928;60018
dar.: Ausländer/-innen ;Anzahl;97702;104887;106152;27094;28384;9521;9644;9543;8817
Nichtehelich Lebendgeborene7 ...........................................................................................................;Anzahl;272724;266896;258835;62167;69353;23057;23534;22330;20539
Gestorbene8 ...........................................................................................................;Anzahl;932263;954874;939520;232175;227175;78715;74394;79763;85699
dar.: Ausländer/-innen ;Anzahl;30749;32350;33871;8897;8461;2974;2776;3088;3575
Gestorbene im 1. Lebensjahr ;Anzahl;2566;2505;2485;606;610;214;205;196;172
Totgeborene ;Anzahl;3000;3030;3180;825;813;293;236;240;267
Überschuss der Geborenen (+);;;;;;;;;;
bzw. Gestorbenen (-) ;Anzahl;-147379;-167351;-161430;-40296;-16962;-8739;-4578;-12835;-25681
Deutsche ;Anzahl;-214332;-239888;-233711;-58493;-36885;-15286;-11446;-19290;-30923
Ausländer/-innen ;Anzahl;66953;72537;72281;18197;19923;6547;6868;6455;5242
;;;;;;;;;;
;;Apr. 20 ;Mai  20 ;Juni 20 ;Juli 20 ;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 
Bevölkerungsstand ;;;;;;;;;;
(Monatsschätzung) ;Mill.;X;X;X;X;X;X;X;X;83.1
;;;;;;;;;;
Verhältniszahlen;;;;;;;;;;
;;  2017  ;  2018  ;  2019  ;2. Vj 20;3. Vj 20;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 
Bevölkerungsstand1, 2; ;;;;;;;;;
dar.: Ausländer/-innen ;% der Bevölkerung;11.690534;12.200000;12.500000;12.600000;12.700000;12.600000;12.700000;12.700000;12.700000
Wanderungen2, 3, 4 ;;;;;;;;;;
Zuzüge;;;;;;;;;;
dar.: Ausländer/-innen ;% aller Zuzüge;89.249968;87.600000;86.355231;79.261105;83.554138;82.944590;85.671202;86.743754;85.700000
Fortzüge;;;;;;;;;;
dar.: Ausländer/-innen ;% aller Fortzüge;78.038781;77.700000;78.052571;76.646918;76.029439;75.621815;75.930229;77.444385;77.300000
;;;;;;;;;;
;;  2017  ;  2018  ;  2019  ;2. Vj 20;3. Vj 20;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 
;;;;;;;;;;
Natürliche Bevölkerungsbewegung4, 5;;;;;;;;;;
Eheschließungen ;je 1 000 Einwohner/-innen;4.900000;5.400000;5.000000;4.400000;6.600000;7.000000;6.500000;6.000000;3.000000
Ehescheidungen6 ...........................................................................................................;je 10 000 Einwohner/-innen;18.600000;17.900000;17.900000;-;-;-;-;-;-
Lebendgeborene ;je 1 000 Einwohner/-innen;9.500000;9.500000;9.400000;9.300000;10.100000;9.900000;10.200000;9.500000;8.800000
dar.: Ausländer/-innen ;% aller Lebendgeborenen;12.400000;13.300000;13.600000;14.100000;13.500000;13.600000;13.800000;14.300000;14.700000
;;;;;;;;;;
Zusammengefasste Geburtenziffer9 ...........................................................................................................; ;1569;1565;1540;-;-;-;-;-;-
Nichtehelich Lebendgeborene7 ...........................................................................................................;% aller Lebendgeborenen;34.748463;33.900000;33.300000;32.400000;33.000000;32.900000;33.700000;33.400000;34.200000
Gestorbene8 ...........................................................................................................;je 1 000 Einwohner/-innen;11.300000;11.500000;11.300000;11.200000;10.900000;11.200000;10.900000;11.300000;12.600000
Gestorbene im 1. Lebensjahr ;% aller Lebendgeborenen;0.327793;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000


1 Ergebnisse auf Grundlage des Zensus 2011. – 2 Die Ergebnisse ab Berichtsjahr 2016 sind aufgrund methodischer Änderungen und technischer Weiterentwicklungen nur bedingt mit den Vor- ;;;;;;;;;;
jahren vergleichbar. Ausführliche Erläuterungen dazu finden Sie auf der Internetseite der Wanderungen <https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/;;;;;;;;;;
"Wanderungen/_inhalt.html#sprg250326>. – 3 Einschließlich Herkunfts-/Zielgebiet ""ungeklärt"" und ""ohne Angabe"". – 4 Monats- und Vierteljahreszahlen vorläufig. – 5 Daten zu den Geburten ";;;;;;;;;;
und Sterbefällen 2017 ohne Angaben zum unbestimmten Geschlecht. – 6 2019: Einschließlich Scheidungen gleichgeschlechtlicher Ehen. – 7 Kinder nicht miteinander verheirateter Eltern. – ;;;;;;;;;;
8 Ohne Totgeborene. – 9 Summe der altersspezifischen Geburtenziffern. Sie gibt an, wie viele Kinder 1 000 Frauen im Laufe ihres Lebens zur Welt bringen würden, wenn die gegenwärtigen ;;;;;;;;;;
Geburtenverhältnisse konstant blieben.;;;;;;;;;;
