<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Handel, Gastgewerbe, Tourismus ;;;;;;;;;;
Umsatz in jeweiligen Preisen1;;;;;;;;;;
Großhandel (Gh.)2 ........................................................................................;1.624549;-0.35524;0.335289;1.205857;7.479224;-8.52429;2.307692;-1.837928;-0.93617;-14.261168
darunter:;;;;;;;;;;
Gh. mit Nahrungsmitteln, Genussmittel, Getränken und;;;;;;;;;;
Tabakwaren ;2.564103;1.607143;1.206897;-3.10559;2.023609;-9.496676;1.557093;-6.984668;10.805861;-21.239669
Gh. mit Gebrauchs- und Verbrauchsgütern ;4.632153;3.732639;4.361371;5.678233;12.219227;-7.095159;2.918587;0;-6.791045;-10.888711
Gh. mit Geräten der Informations- und   ;;;;;;;;;;
Kommunikationstechnik ;0.271248;5.770965;12.708151;9.075488;9.372579;2.561913;3.376206;0;9.797823;-14.943343
Gh. mit sonstigen Maschinen, Ausrüstungen und Zubehör  ;1.581722;-2.33564;0.930626;4.63692;13.21267;-6.653992;2.315609;0.251467;4.598662;-21.502798
Sonstiger Großhandel ;-1.417183;-6.289308;-6.424345;-3.395889;4.689204;-12.215909;1.839926;-2.34869;-11.19334;-3.4375
Gh. ohne ausgeprägten Schwerpunkt  ;3.164557;1.928133;1.440678;1.702128;8.636749;-7.792208;0.335289;-0.167084;7.364017;-28.059236
;;;;;;;;;;
;  2019  ;  2020  ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Einzelhandel (Eh.)3 .......................................................................................................;3.603604;5.217391;11.016949;6.4;5.343511;-8.181818;9.166667;1.526718;3.759398;-26.811594
darunter:;;;;;;;;;;
Eh. mit Nahrungsmitteln usw.3 ..........................................................................................;1.886792;3.703704;6.422018;-0.900901;4.132231;-2.020202;3.571429;-5.172414;14.545455;-23.015873
Eh. mit Motorenkraftstoffen (Tankstellen) ..........................................................................................................;2.608696;-4.237288;-4.065041;-7.5;-0.877193;-11.403509;0.854701;-5.932203;1.801802;-10.619469
