<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Dez. 20 ;Jan. 21 ;Feb. 21 ;März 21 ;Dez. 20 ;Jan. 21 ;Feb. 21 ;März 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
Arbeitsmarkt;;;;;;;;;;
Arbeitsmarktstatistik der ;;;;;;;;;;
Bundesagentur für Arbeit1;;;;;;;;;;
Deutschland ;;;;;;;;;;
Arbeitslose insgesamt ;-3.135018;18.913849;21.555848;19.589177;21.239278;21.070864;0.30043;7.144577;0.129281;-2.649899
darunter:;;;;;;;;;;
Jüngere unter 25 Jahren ;-2.357114;25.307229;23.190966;20.493319;21.700054;20.088011;-1.754204;6.151412;4.898722;-3.484706
Ausländer/-innen ;1.667405;25.106051;24.294067;21.700163;24.118657;24.571345;-0.3879;6.744633;0.970813;-1.412752
Männer2 ………………………………………………………………………………………………….;-2.262633;20.406339;21.618073;18.715566;20.186246;19.714807;0.768092;8.07764;0.395354;-3.287592
Frauen2 ………………………………………………………………………………………………………..;-4.210764;17.035554;21.475808;20.753559;22.65607;22.879005;-0.293914;5.945;-0.219596;-1.808305
Arbeitslosenquote insgesamt3 ....................................................................................................................................;X ;X ;X ;X ;X ;X ;X ;X ;X ;X 
Männer ;X ;X ;X ;X ;X ;X ;X ;X ;X ;X 
Frauen ;X ;X ;X ;X ;X ;X ;X ;X ;X ;X 
Jüngere unter 25 Jahren;X ;X ;X ;X ;X ;X ;X ;X ;X ;X 
Ausländer/-innen;X ;X ;X ;X ;X ;X ;X ;X ;X ;X 
Gemeldete Arbeitsstellen4, 5 …………………………………………………………………………………………………….. ;-2.772633;-20.778852;-15.340157;-15.228205;-15.467652;-11.862337;-3.209138;-2.564204;2.931335;4.49831
;;;;;;;;;;
Früheres Bundesgebiet ohne Berlin;;;;;;;;;;
Arbeitslose insgesamt ;-2.022487;20.425534;22.435371;20.282213;21.681774;21.077371;-1.3110742068E-2;7.032266;4.8465266560000003E-3;-2.805509
darunter:;;;;;;;;;;
Jüngere unter 25 Jahren ;-2.291868;25.890268;22.70513;19.536391;20.721428;18.564166;-2.05114;6.3848;4.90668;-4.155326
Ausländer/-innen ;1.460844;24.803502;23.416988;20.854395;23.00534;23.302611;-0.381428;7.005482;0.847662;-1.639006
Männer2 ………………………………………………………………………………………………….;-1.019629;22.155647;22.48891;19.34035;20.556427;19.629593;0.432919;8.038351;0.281947;-3.509086
