<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Grundzahlen";;;;;;;;;;
;Einheit;1.-4. Vj 17;1.-2. Vj 18;1.-3. Vj 18;1.-4. Vj 18;1.-2. Vj 19;1.-3. Vj 19;1.-4. Vj 19;1.-2. Vj 20;1.-3. Vj 20
;;;;;;;;;;
Finanzen und Steuern;;;;;;;;;;
;;;;;;;;;;
Öffentlicher Gesamthaushalt;;;;;;;;;;
;;;;;;;;;;
Ausgaben1;;;;;;;;;;
Öffentlicher Gesamthaushalt ;Mill. EUR;1367850;688630;1044036;1428512;734296;1103858;1497437;797319;1231459
Bund ;Mill. EUR;376138;184228;283953;385998;197169;293556;397003;228594;370023
EU-Anteile ;Mill. EUR;20704;12813;19886;27526;17613;25223;29924;16511;21566
Länder2 ...............................................................;Mill. EUR;383299;187207;282634;398805;199586;302234;417203;230389;344072
Gemeinden/Gemeindeverbände2 ..................................................................................  ;Mill. EUR;247723;122678;187007;260128;129094;198287;276726;137097;209684
Sozialversicherung ;Mill. EUR;624924;321802;483697;647874;335666;506495;679929;362582;558104
;;;;;;;;;;
in den Ländern3;;;;;;;;;;
Baden-Württemberg ;Mill. EUR;70343;34590;52145;71778;35740;54303;74570;40419;59346
Bayern ;Mill. EUR;84131;43223;65433;90670;47799;71711;99870;48325;72092
Brandenburg ;Mill. EUR;15785;7826;11925;16425;8259;12691;18533;9056;13948
Hessen ;Mill. EUR;44114;22013;32832;45594;22292;34338;47329;24706;36275
Mecklenburg-Vorpommern ;Mill. EUR;9430;4382;6844;9870;4489;7562;10846;5992;8723
Niedersachsen ;Mill. EUR;45233;22562;33832;47686;23614;36139;49861;27034;40458
Nordrhein-Westfalen ;Mill. EUR;119692;57700;89644;121959;61866;92804;126135;66885;104334
Rheinland-Pfalz ;Mill. EUR;23785;11688;17606;23951;12078;18279;24979;13715;21751
Saarland ;Mill. EUR;5969;3037;4421;5970;2898;4628;6470;3556;5279
Sachsen ;Mill. EUR;24968;11213;16964;24616;12508;19098;26984;14487;22051
Sachsen-Anhalt ;Mill. EUR;14399;6912;10518;14873;7026;10823;15517;7816;11650
Schleswig-Holstein ;Mill. EUR;18196;8720;13252;21335;9914;14625;20035;10742;15793
Thüringen ;Mill. EUR;12209;5856;8872;12701;6048;9467;13514;6675;10311
Berlin ;Mill. EUR;27380;13957;21045;29291;14657;22272;30776;17086;25267
Bremen ;Mill. EUR;6204;2901;4381;6339;3129;4734;6618;3356;5078
Hamburg ;Mill. EUR;19337;8304;12691;21579;9070;14393;20431;9741;14771
;;;;;;;;;;
;;;;;;;;;;
Einnahmen1;;;;;;;;;;
Öffentlicher Gesamthaushalt ;Mill. EUR;1429711;715380;1076099;1482112;745183;1122591;1542690;709491;1074369
Bund ;Mill. EUR;406751;194638;291543;398441;196929;297148;411795;184733;276489
EU-Anteile ;Mill. EUR;20704;12813;19886;27526;17613;25223;29924;16511;21566
Länder2 ...............................................................;Mill. EUR;395405;204275;304968;419030;211668;319526;433913;213876;326747
Gemeinden/Gemeindeverbände2 ..................................................................................  ;Mill. EUR;258423;123452;189468;269906;128816;197885;282352;127366;194820
Sozialversicherung ;Mill. EUR;633366;320301;483375;659027;334989;504746;688055;344860;526736
;;;;;;;;;;
in den Ländern3;;;;;;;;;;
Baden-Württemberg ;Mill. EUR;71673;37142;54700;76153;37600;56402;78469;35581;54366
Bayern ;Mill. EUR;89742;45931;69346;97215;49121;73206;100922;43300;65765
Brandenburg ;Mill. EUR;16778;8194;12690;17503;8359;12905;17931;8446;13107
Hessen ;Mill. EUR;45699;22084;33161;47198;23741;35629;49179;21732;33272
Mecklenburg-Vorpommern ;Mill. EUR;10528;4867;7745;10694;4884;7937;11052;5662;8597
Niedersachsen ;Mill. EUR;47398;24927;37530;51492;25604;38707;53279;25203;38720
Nordrhein-Westfalen ;Mill. EUR;122405;60558;91822;127082;62934;95423;132945;62435;96384
Rheinland-Pfalz ;Mill. EUR;25300;12158;18250;25405;12682;19022;26537;12786;19542
Saarland ;Mill. EUR;6015;2868;4617;6265;2787;4946;6710;3127;5314
Sachsen ;Mill. EUR;26044;13311;19809;27354;12947;20097;27815;12427;19805
Sachsen-Anhalt ;Mill. EUR;15114;7137;11185;15679;7511;11580;16039;7427;11277
Schleswig-Holstein ;Mill. EUR;18611;8823;13676;19697;9439;14582;20115;9768;14749
Thüringen ;Mill. EUR;13516;6608;10116;13806;6749;10502;14350;6688;10351
Berlin ;Mill. EUR;29810;15351;23596;31590;15687;24036;31942;16462;24579
Bremen ;Mill. EUR;6311;2964;4793;6532;3078;5027;6834;2922;5065
Hamburg ;Mill. EUR;19034;9802;14165;20976;10067;14753;20684;9381;14047
;;;;;;;;;;
;;;;;;;;;;
1 Ergebnisse der vierteljährlichen Kassenstatistik (Kern- und Extrahaushalte), bereinigt um Zahlungen der Einheiten untereinander, daher nicht addierbar. 2014 und 2015 revidierte Er- ;;;;;;;;;;
gebnisse. – 2 Einschließlich gemeinsamer Extrahaushalte. – 3 Staatliche und kommunale Ebene.;;;;;;;;;;
