<< Inhaltsverzeichnis;;;;;;;;
"Statistische Wochenberichte
Ausgewählte Konjunkturindikatoren";;;;;;;;
;Veränderung in %;;;;;;;
;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 
;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;
Arbeitsmarkt;;;;;;;;
Erwerbstätige1 im Inland ...............................................................................................................;-1.679788;-1.663952;-1.638726;-1.671692;-5.7956799892999997E-2;-0.350173;-0.718474;-1.5781049214E-2
Erwerbstätige1 Inländer ...............................................................................................................;-1.603149;-1.612725;-1.586526;-1.669812;6.7052591580000001E-3;-0.330771;-0.68616;-1.5804922103999999E-2
;;;;;;;;
;Dez. 20 ;Jan. 21 ;Feb. 21 ;März 21 ;Dez. 20 ;Jan. 21 ;Feb. 21 ;März 21 
;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;
Arbeitslose2 ...............................................................................................................;21.555848;19.589177;21.239278;21.070864;0.30043;7.144577;0.129281;-2.649899
Gemeldete Arbeitsstellen2, 3 ....................................................................................;-15.340157;-15.228205;-15.467652;-11.862337;-3.209138;-2.564204;2.931335;4.49831
;;;;;;;;
;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;
Bergbau und Verarbeitendes Gewerbe4;;;;;;;;
Betriebe ;-3.4306788455999999E-2;-2.5746652934999999E-2;-1.2883830791999999E-2;-2.689497;-0.141364;-5.5767663335000002E-2;-6.8675422782999998E-2;-3.337342
Tätige Personen ;-2.908454;-2.831502;-2.741784;-2.876118;-0.225505;-0.143408;-0.403025;-0.729769
Geleistete Arbeitsstunden ;-4.751811;-3.257275;-0.948596;-10.430162;2.027586;0.176832;-15.764953;10.185732
Bruttolohn- und -gehaltsumme ;-3.849671;-3.139362;-0.920865;-2.239664;2.184142;29.506784;-19.466978;-2.224709
Umsatz ;-2.858813;1.798595;5.200869;-9.472138;0.319685;3.680326;-4.618431;-15.410186
dar.: Auslandsumsatz ;-1.723263;0.991611;6.670806;-7.521677;1.084098;0.841674;-2.069071;-15.3575
;;;;;;;;
;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;
;;;;;;;;
Index des Auftragseingangs für das Verarbeitende Gewerbe (Wertindex)5;;;;;;;;
insgesamt ;2.416357;8.604207;9.729188;-3.030303;4.454976;3.085299;-3.697183;-3.473492
