<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Grundzahlen";;;;;;;;;;
;Einheit;  2018  ;  2019  ;  2020  ;3. Vj 19;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
Verdienste und Arbeitskosten;;;;;;;;;;
Neue Länder;;;;;;;;;;
Bruttostundenverdienste ohne Sonderzahlungen;;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
Energieversorgung ;EUR;25.6900000;26.1400000;27.1100000;26.0900000;26.2600000;26.7400000;27.1800000;27.0700000;27.4400000
Männer ;EUR;26.3900000;26.7700000;27.7800000;26.7400000;26.8700000;27.3900000;27.8500000;27.7400000;28.1500000
Frauen ;EUR;23.8400000;24.0400000;24.9700000;23.9300000;24.1800000;24.6500000;25.0400000;24.9600000;25.2200000
Wasserversorgung1 ............................................................................................................................................;EUR;16.8800000;17.3200000;17.6600000;17.4400000;17.4900000;17.5000000;17.6500000;17.6000000;17.8900000
Männer ;EUR;16.6200000;17.1400000;17.4300000;17.2800000;17.3100000;17.2800000;17.4100000;17.3600000;17.6700000
Frauen ;EUR;18.0300000;18.1400000;18.8600000;18.1700000;18.2700000;18.6200000;18.9400000;18.8800000;19.0300000
Baugewerbe ;EUR;16.2700000;16.9800000;17.5500000;16.9900000;17.1700000;17.3400000;17.5400000;17.5800000;17.7400000
Männer ;EUR;16.2800000;17.0000000;17.5700000;17.0000000;17.1900000;17.3500000;17.5500000;17.5900000;17.7500000
Frauen ;EUR;16.1600000;16.8100000;17.4300000;16.8000000;16.9200000;17.1900000;17.4900000;17.4200000;17.6300000
Dienstleistungsbereich ;EUR;18.7100000;19.3900000;20.2800000;19.5300000;19.6400000;19.9700000;20.4100000;20.2700000;20.4700000
Männer ;EUR;18.8400000;19.5300000;20.4500000;19.6700000;19.8100000;20.1300000;20.5500000;20.4700000;20.6500000
Frauen ;EUR;18.5300000;19.2000000;20.0500000;19.3400000;19.4000000;19.7600000;20.2300000;19.9900000;20.2300000
Handel2 ............................................................................................................................................;EUR;15.6700000;16.4300000;17.2900000;16.5100000;16.6200000;17.0500000;17.1800000;17.3100000;17.6300000
Männer ;EUR;16.4100000;17.1300000;18.2300000;17.2500000;17.3600000;18.0200000;18.0500000;18.2500000;18.5900000
Frauen ;EUR;14.2600000;15.0200000;15.3800000;15.0100000;15.1400000;15.0700000;15.3900000;15.4200000;15.6500000
Verkehr und Lagerei ;EUR;14.9300000;15.2500000;15.6000000;15.3100000;15.6300000;15.4300000;15.6800000;15.5900000;15.7100000
Männer ;EUR;14.6800000;15.0300000;15.4200000;15.1000000;15.4200000;15.2300000;15.4900000;15.4100000;15.5300000
