<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;gegenüber Vorjahr;;gegenüber Vorjahresquartal;;;;gegenüber Vorquartal;;;
Verdienste und Arbeitskosten;;;;;;;;;;
Deutschland;;;;;;;;;;
Bezahlte Wochenarbeitszeit;;;;;;;;;;
Vollzeitbeschäftigte Arbeitnehmer/-innen;;;;;;;;;;
Produzierendes Gewerbe und Dienstleistungsbereich ;-0.255102;-2.813299;-0.257069;-6.122449;-2.798982;-2.295918;-1.020408;-5.154639;3.804348;0.26178
Männer ;0;-3.053435;-0.25641;-6.361323;-3.045685;-2.290076;-1.017812;-5.398458;3.804348;0.52356
Frauen ;0;-2.827763;-0.514139;-5.655527;-2.564103;-2.313625;-0.514139;-5.167959;3.542234;0
Produzierendes Gewerbe ;-0.258398;-3.626943;-0.26178;-7.49354;-3.856041;-2.583979;-1.550388;-6.036745;4.469274;0.802139
Männer ;-0.257732;-3.617571;-0.522193;-7.474227;-3.846154;-2.319588;-1.804124;-5.774278;4.456825;1.066667
Frauen ;0;-3.926702;-0.263158;-8.376963;-4.188482;-2.879581;-0.78534;-7.651715;4.571429;1.36612
;;;;;;;;;;
Bergbau und Gewinnung von Steinen und Erden ;-0.740741;-1.243781;0;-2.48139;-0.990099;-1.243781;-0.746269;-1.503759;1.78117;-0.75
Männer ;-0.982801;-0.992556;-0.249377;-2.227723;-0.985222;-0.992556;-0.744417;-1.25;1.772152;-0.746269
Frauen ;0.258398;-1.804124;0.257732;-3.341902;-2.827763;-1.550388;0.516796;-3.341902;0.531915;0.793651
Verarbeitendes Gewerbe ;0;-4.6875;-0.78329;-9.895833;-5.194805;-3.125;-1.041667;-8.947368;5.491329;1.917808
Männer ;0;-4.675325;-0.78125;-9.87013;-5.181347;-2.864583;-0.78125;-8.923885;5.475504;1.912568
Frauen ;-0.262467;-4.473684;-0.263852;-9.210526;-4.986877;-3.149606;-0.787402;-8.730159;4.927536;1.933702
Energieversorgung ;0.260417;-0.519481;0;-0.779221;-0.519481;-0.25974;-0.25974;-0.520833;0.26178;0.261097
Männer ;0;-0.25974;-0.25974;-0.779221;-0.518135;-0.518135;-0.518135;-0.520833;0.52356;0
Frauen ;0;-0.522193;-0.261097;-1.044386;-0.522193;-0.522193;-0.261097;-0.78534;0.527704;0
Wasserversorgung1 ............................................................................................................................................;-0.247525;-0.496278;0.249377;-1.485149;-0.49505;-0.49505;-0.49505;-0.995025;1.005025;0
Männer ;-0.246305;-0.740741;0;-1.234568;-0.738916;-0.738916;-0.738916;-0.744417;0.75;0
Frauen ;-0.254453;-0.510204;0.255754;-1.530612;-0.761421;-0.508906;-0.254453;-1.530612;1.295337;0
Baugewerbe ;0;-0.508906;1.066667;-1.507538;-0.746269;-1.007557;-4.534005;3.430079;1.785714;-1.503759
Männer ;-0.253807;-0.508906;1.069519;-1.507538;-0.992556;-1.256281;-5.025126;3.703704;1.785714;-1.503759
Frauen ;0;-0.767263;-0.257069;-1.534527;-0.763359;-0.510204;-1.020408;-0.773196;1.298701;0
Dienstleistungsbereich ;0;-2.78481;-0.507614;-5.329949;-2.278481;-2.278481;-0.759494;-4.846939;3.485255;0
Männer ;0;-2.518892;-0.505051;-5.541562;-2.512563;-2.267003;-0.755668;-4.822335;3.466667;0
Frauen ;0;-2.557545;-0.511509;-5.370844;-2.046036;-2.30179;-0.511509;-4.884319;3.513514;-0.261097
Handel2 ............................................................................................................................................;0;-3.299492;-0.508906;-8.121827;-2.284264;-2.030457;-0.761421;-7.41688;6.353591;0.25974
Männer ;0;-3.274559;-0.505051;-7.808564;-2.267003;-2.015113;-0.755668;-7.106599;6.010929;0.257732
Frauen ;0;-3.608247;-0.773196;-9.020619;-2.570694;-2.319588;-0.773196;-8.311688;7.365439;0
Verkehr und Lagerei ;0;-2.722772;-0.248756;-5.693069;-2.716049;-2.222222;-0.987654;-4.987531;3.412073;0.507614
Männer ;0;-2.702703;-0.246914;-5.651106;-2.45098;-1.960784;-0.980392;-4.950495;3.645833;0.502513
Frauen ;0.257069;-3.333333;0;-6.153846;-3.836317;-3.076923;-0.25641;-5.912596;2.73224;0.531915
Gastgewerbe ;0.252525;-19.395466;-4.303797;-35.264484;-13.065327;-26.700252;-4.785894;-32.010582;34.63035;-15.895954
Männer ;0.503778;-19.298246;-4.534005;-34.33584;-13.5;-26.817043;-5.012531;-30.870712;32.061069;-15.606936
Frauen ;0;-19.543147;-4.3257;-36.548223;-12.878788;-26.395939;-4.568528;-33.510638;38;-15.942029
Information und Kommunikation ;-0.254453;-1.785714;0;-3.826531;-2.290076;-1.020408;0;-3.826531;1.856764;1.041667
Männer ;-0.253807;-1.526718;0;-3.562341;-2.030457;-0.763359;0;-3.562341;1.846966;1.036269
Frauen ;0;-2.564103;0;-4.884319;-3.076923;-1.794872;-0.25641;-4.884319;2.162162;1.322751
;;;;;;;;;;
Erbringung von Finanz- und Versicherungsdienstleistungen ;0;-0.259067;0;-0.777202;-0.259067;-0.259067;0;-0.777202;0.522193;0
Männer ;0;-0.258398;0;-0.775194;-0.258398;-0.258398;0;-0.775194;0.520833;0
Frauen ;0;-0.519481;0;-1.038961;-0.519481;-0.25974;0;-1.038961;0.524934;0.261097
Grundstücks- und Wohnungswesen ;0;-1.028278;0;-2.313625;-0.771208;-0.769231;-0.512821;-2.061856;1.578947;0.259067
Männer ;0;-0.767263;0;-1.794872;-0.765306;-0.765306;-0.510204;-1.794872;1.56658;0
Frauen ;0;-1.036269;0;-2.842377;-0.777202;-0.518135;-0.259067;-2.337662;1.861702;0.261097
Erbringung von freiberuflichen, wissenschaftlichen und ;;;;;;;;;;
technischen Dienstleistungen ;0;-2.290076;0;-4.3257;-2.798982;-1.526718;-0.254453;-4.081633;1.595745;1.308901
Männer ;-0.253165;-2.284264;0;-4.314721;-3.037975;-1.772152;-0.253165;-4.314721;1.591512;1.305483
Frauen ;-0.255754;-1.794872;0;-4.102564;-2.051282;-1.534527;-0.255754;-4.102564;2.139037;0.78534
;;;;;;;;;;
Erbringung von sonstigen wirtschaftlichen Dienstleistungen ;0.518135;-4.896907;-0.260417;-9.560724;-5.128205;-3.856041;-1.542416;-8.616188;5.714286;1.081081
Männer ;0.516796;-4.113111;-0.518135;-8.762887;-4.336735;-3.571429;-2.040816;-7.8125;5.932203;0.8
Frauen ;0.26178;-5.744125;-0.262467;-10.704961;-6.770833;-5.221932;-0.78329;-10;4.678363;1.396648
;;;;;;;;;;
Öffentliche Verwaltung, Verteidigung, Sozialversicherung ;0;0;0;0;0;0;0;0;0;0
Männer ;0;0;0;0;0;0;0;0;0;0
Frauen ;0;0;0;0;0;0;0;0;0;0
Erziehung und Unterricht ;0;-0.753769;0;-1.256281;-0.502513;-0.502513;-0.251256;-1.007557;0.763359;0
Männer ;0;-0.75188;0;-1.503759;-0.75188;-0.75188;-0.250627;-1.256281;0.763359;0
Frauen ;0;-0.503778;0;-1.007557;-0.503778;-0.251889;0;-1.007557;0.508906;0.253165
