<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Veränderungen in %";;;;;;;;;;
;Vergleich;;;;;;;;;
;  2019  ;  2020  ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Produzierendes Gewerbe;;;;;;;;;;
;;;;;;;;;;
Bauhauptgewerbe;;;;;;;;;;
;;;;;;;;;;
Index des Auftragseingangs1, 2 ;;;;;;;;;;
Bauhauptgewerbe ;8.178439;0.4811;4.479769;-2.299652;3.274216;-1.223242;-5.859375;-3.042877;7.988588;-14.663144
Hochbau ;10.37376;6.9108500345999996E-2;10.12931;-3.27654;-0.403769;-0.515844;-3.766478;-3.7182;0.271003;-8.783784
Tiefbau ;5.924855;0.818554;-2.252907;-1.12782;7.623008;-2.236422;-8.565602;-2.230483;18.098859;-21.184804
;;;;;;;;;;
;  2019  ;  2020  ;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;gegenüber Vorjahr;;gegenüber Vorjahresquartal;;;;gegenüber Vorquartal;;;
;;;;;;;;;;
Index des Auftragsbestands1, 2 ;;;;;;;;;;
Bauhauptgewerbe ;13.73661;7.313019;8.333333;7.084911;7.493113;6.338427;9.620826;2.219928;-1.464646;-3.690415
Hochbau ;14.294872;6.169377;10.894495;5.169539;5.342237;3.402119;7.863915;-2.171665;5.2854122621999997E-2;-2.060222
Wohnungsbau ;17.725348;4.727646;7.744636;1.471334;3.51682;6.29515;6.24355;-2.865469;1.55;1.427868
Tiefbau ;13.180693;8.529251;5.606968;9.086134;9.809264;9.72382;11.622555;7.061856;-2.985075;-5.359801
Straßenbau ;6.920981;4.740061;-0.354251;3.916084;6.586224;9.619816;13.421659;13.204672;-4.890085;-10.235849
;;;;;;;;;;
;  2019  ;  2020  ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;gegenüber Vorjahr;;gegenüber Vorjahresmonat;;;;gegenüber Vormonat;;;
;;;;;;;;;;
Produktionsindex;;;;;;;;;;
Originalwert;;;;;;;;;;
Bauhauptgewerbe ;5.877342;5.390185;3.829787;6.730769;5.02008;-20.786517;-0.813008;-1.434426;-27.512128;-19.120459
Hochbau ;6.04534;4.908947;3.528582;6.263817;4.607843;-20.595968;-0.271924;-1.704158;-26.005548;-15.089035
