<< Inhaltsverzeichnis;;;;;;;;;;
"Statistische Wochenberichte
Grundzahlen";;;;;;;;;;
;Einheit;  2018  ;  2019  ;  2020  ;Juli 20 ;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 
Verkehr;;;;;;;;;;
noch: Güterverkehr;;;;;;;;;;
Beförderungsmenge ;;;;;;;;;;
Seeverkehr ;1 000 t;292139.512;287663.0588;273189.1332;21928.4403;22482.2777;22300.8039;24762.9661;23399.632;23254.8348
Binnenverkehr ;1 000 t;3752.217;3232.189;2993.4957;205.7599;213.7289;224.7668;207.6906;244.1603;220.0889
grenzüberschreitender Versand ;1 000 t;113530.844;112047.6627;111501.3276;9160.9403;8780.7193;8971.136;9884.7093;9807.3321;10049.2796
grenzüberschreitender Empfang ;1 000 t;174856.451;172383.2073;158694.3103;12561.7402;13487.8294;13104.9011;14670.5663;13348.1396;12985.4664
;;;;;;;;;;
;;  2018  ;  2019  ;  2020  ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 ;Feb. 21 
;;;;;;;;;;
Luftverkehr1 ......................................................................................................................................;1 000 t;4935.271;4771.981;4590.559;392.824;420.696;439.085;446.897;401.308;394.427
grenzüberschreitender Versand ;1 000 t;2463.625;2357;2228.646;190.2;205.996;212.097;218.429;193.041;195.162
grenzüberschreitender Empfang ;1 000 t;2248.576;2200.567;2142.731;184.311;195.294;207.743;208.189;190.528;182.634
;;;;;;;;;;
;;  2018  ;  2019  ;  2020  ;Aug. 20 ;Sep. 20 ;Okt. 20 ;Nov. 20 ;Dez. 20 ;Jan. 21 
;;;;;;;;;;
Rohöl-Rohrfernleitungen2 ............................................................;1 000 t;84480.838;85126.624;81711.516;6923.504;6440.083;6979.611;6473.766;6145.736;6375.799
Binnenverkehr ;1 000 t;20341.207;24469.988;20434.707;1811.582;1391.873;1627.433;1438.462;1410.769;1740.671
grenzüberschreitender Empfang ;1 000 t;64139.631;60656.636;61276.809;5111.922;5048.21;5352.178;5035.304;4734.967;4635.128
;;;;;;;;;;
;;  2016  ;  2017  ;  2018  ;Juli 18 ;Aug. 18 ;Sep. 18 ;Okt. 18 ;Nov. 18 ;Dez. 18 
;;;;;;;;;;
