<< Inhaltsverzeichnis;;;;;;;;;
Statistische Wochenberichte;;;;;;;;;
;  2017  ;  2018  ;  2019  ;  2020  ;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen;;;;;;;;;
;;;;;;;;;
i n  j e w e i l i g e n  P r e i s e n;;;;;;;;;
Mrd. EUR;;;;;;;;;
Konsum ;2352.217;2425.739;2511.407;2460.137;653.305;616.401;580.984;627.539;635.213
Private Konsumausgaben ;1704.05;1755.393;1806.871;1709.299;462.82;436.795;397.059;441.947;433.498
Konsumausgaben des Staates ;648.167;670.346;704.536;750.838;190.485;179.606;183.925;185.592;201.715
Bruttoinvestitionen ;679.562;724.295;737.712;678.139;183.541;182.231;156.289;165.175;174.444
Bruttoanlageinvestitionen ;665.965;709.253;747.986;735.496;195.246;174.271;178.875;187.145;195.205
Ausrüstungen ;224.492;235.619;240.139;213.862;65.945;51.296;46.675;53.156;62.735
Bauten ;321.016;344.866;373.695;387.006;91.498;91.688;99.886;100.92;94.512
Sonstige Anlagen ;120.457;128.768;134.152;134.628;37.803;31.287;32.314;33.069;37.958
Vorratsveränderungen und Nettozugang an Wertsachen ;13.597;15.042;-10.274;-57.357;-11.705;7.96;-22.586;-21.97;-20.761
Inländische Verwendung ;3031.779;3150.034;3249.119;3138.276;836.846;798.632;737.273;792.714;809.657
Außenbeitrag ;228.081;206.376;199.931;193.954;49.294;52.428;31.597;50.406;59.523
Exporte ;1538.79;1590.017;1617.36;1460.094;406.556;394.068;309.323;364.985;391.718
abzüglich: Importe ;1310.709;1383.641;1417.429;1266.14;357.262;341.64;277.726;314.579;332.195
Bruttoinlandsprodukt ;3259.86;3356.41;3449.05;3332.23;886.14;851.06;768.87;843.12;869.18
Veränderungen gegenüber dem entsprechenden Zeitraum des Vorjahres in %;;;;;;;;;
Konsum ;3.27762;3.125647;3.531625;-2.041485;3.207415;1.821182;-6.244059;-0.870391;-2.769304
Private Konsumausgaben ;3.043691;3.012998;2.932563;-5.400053;2.345123;0.351279;-11.632115;-3.811648;-6.335508
Konsumausgaben des Staates ;3.897726;3.421803;5.100351;6.571985;5.364324;5.58227;7.96762;6.914609;5.895477
Bruttoinvestitionen ;8.568891;6.582622;1.852422;-8.075374;-2.268879;-1.7935;-12.367533;-13.187327;-4.956386
Bruttoanlageinvestitionen ;4.662274;6.500041;5.461098;-1.669817;3.080602;1.814623;-5.448693;-2.727244;-2.0999149791E-2
Ausrüstungen ;4.843033;4.956524;1.918351;-10.942413;-1.238543;-7.787445;-22.554258;-8.8202;-4.867693
Bauten ;4.252037;7.429536;8.359479;3.561996;5.990015;8.712355;3.382393;-0.315096;3.294061
Sonstige Anlagen ;5.429132;6.899558;4.181163;0.354821;4.106081;0.288489;5.2636467782999997E-2;0.651347;0.41002
Vorratsveränderungen und Nettozugang an Wertsachen ;0.764625;4.4327056990177499E-2;-0.754258;-1.365101;-1.167991;-0.760682;-1.387229;-2.280526;-1.02196
Inländische Verwendung ;4.418297;3.900515;3.145522;-3.411479;1.954425;0.973152;-7.612563;-3.716803;-3.248985
Außenbeitrag ;-0.100965;-0.665826;-0.192021;-0.173294;0.66035;-0.290487;-2.045009;0.410389;1.154332
Exporte ;6.543966;3.329044;1.719667;-9.723624;1.220453;-2.897062;-22.638305;-9.911166;-3.649682
abzüglich: Importe ;8.052391;5.564317;2.441963;-10.67348;-0.225097;-2.650026;-20.858422;-12.203325;-7.016419
Bruttoinlandsprodukt ;3.9914;2.961784;2.760092;-3.38702;2.516225;0.619517;-9.21789;-3.106361;-1.913919
p r e i s b e r e i n i g t;;;;;;;;;
Kettenindex (2015 = 100);;;;;;;;;
Konsum ;104.4700000;105.9800000;107.9700000;104.2400000;110.4000000;105.6500000;98.1000000;107.1500000;106.0700000
Private Konsumausgaben ;104.0000000;105.5900000;107.2400000;100.7300000;109.3500000;103.2200000;92.8300000;104.6100000;102.2500000
Konsumausgaben des Staates ;105.7500000;107.0300000;109.9200000;113.5200000;113.2100000;112.0800000;112.0000000;113.8700000;116.1500000
Bruttoinvestitionen ;110.7800000;114.0300000;113.0200000;105.2200000;111.2700000;110.1900000;99.3500000;103.1300000;108.2000000
Bruttoanlageinvestitionen ;106.4100000;110.1600000;112.9300000;109.3800000;117.2300000;103.6200000;105.9600000;111.8200000;116.1300000
Ausrüstungen ;107.3700000;112.0800000;112.6700000;99.0200000;123.5400000;95.3800000;86.3400000;98.2100000;116.1700000
Bauten ;104.6800000;107.3700000;111.4500000;113.5400000;108.2500000;107.0500000;116.2600000;119.3800000;111.4600000
Sonstige Anlagen ;109.2800000;114.1600000;117.2800000;116.0400000;130.6300000;108.4800000;111.8800000;114.5400000;129.2800000
Vorratsveränderungen und Nettozugang an Wertsachen ;X;X;X;X;X;X;X;X;X
Inländische Verwendung ;105.8200000;107.7000000;109.0400000;104.4200000;110.5700000;106.6100000;98.3400000;106.2400000;106.5000000
Außenbeitrag ;X;X;X;X;X;X;X;X;X
Exporte ;107.3300000;109.7800000;110.8300000;100.4500000;111.0100000;108.0900000;85.2600000;100.6800000;107.7900000
abzüglich: Importe ;110.0400000;114.0500000;116.9700000;107.0800000;118.3300000;114.0200000;95.4600000;106.6100000;112.2500000
