<< Inhaltsverzeichnis;;;;;;;;;
Statistische Wochenberichte;;;;;;;;;
;  2017  ;  2018  ;  2019  ;  2020  ;4. Vj 19;1. Vj 20;2. Vj 20;3. Vj 20;4. Vj 20
;;;;;;;;;
Volkswirtschaftliche Gesamtrechnungen;;;;;;;;;
;;;;;;;;;
i n  j e w e i l i g e n  P r e i s e n;;;;;;;;;
Mrd. EUR;;;;;;;;;
Bruttowertschöpfung ;2936.703;3024.422;3106.157;3013.885;799.48;767.401;692.364;765.808;788.312
Land- und Forstwirtschaft, Fischerei ;26.932;22.309;24.896;22.089;5.84;5.771;5.851;5.367;5.1
Produzierendes Gewerbe ohne Baugewerbe ;758.7;770.505;754.225;690.275;189.727;183.175;150.343;170.199;186.558
darunter: Verarbeitendes Gewerbe ;665.69;673.997;659.182;593.849;164.579;157.121;128.897;147.923;159.908
Baugewerbe ;138.123;148.334;166.8;182.466;47.853;38.29;44.446;46.356;53.374
Handel, Verkehr und Gastgewerbe ;467.957;483.024;500.832;473.939;128.398;118.432;109.339;124.846;121.322
Information und Kommunikation ;135.393;145.48;153.183;155.352;39.5;39.609;35.537;40.023;40.183
Finanz- und  Versicherungsdienstleister ;117.924;115.756;116.895;116.907;29.256;29.308;29.104;29.262;29.233
Grundstücks- und Wohnungswesen ;310.932;317.784;327.248;334.374;82.24;83.531;81.543;85.077;84.223
Unternehmensdienstleister ;336.912;351.687;361.305;337.623;92.018;90.35;75.879;85.877;85.517
Öffentliche  Dienstleister, Erziehung, Gesundheit ;532.33;554.294;581.558;591.704;154.504;149.217;136.274;149.403;156.81
Sonstige Dienstleister ;111.5;115.249;119.215;109.156;30.144;29.718;24.048;29.398;25.992
Veränderungen gegenüber dem entsprechenden Zeitraum des Vorjahres in %;;;;;;;;;
Bruttowertschöpfung ;4.048266;2.986989;2.7025;-2.970616;2.434137;1.007707;-9.272293;-2.296605;-1.396908
Land- und Forstwirtschaft, Fischerei ;23.010871;-17.165454;11.596217;-11.274904;6.8540095955999997E-2;-4.690339;-9.623108;-17.77233;-12.671233
Produzierendes Gewerbe ohne Baugewerbe ;3.696698;1.555951;-2.1129;-8.478902;-2.122863;-3.715248;-19.794395;-8.890947;-1.670295
darunter: Verarbeitendes Gewerbe ;2.778155;1.247878;-2.198081;-9.911223;-2.50117;-4.215538;-21.963372;-10.56218;-2.838151
Baugewerbe ;4.206023;7.392686;12.448933;9.392086;9.669065;13.680898;8.539891;4.603304;11.537417
Handel, Verkehr und Gastgewerbe ;4.633358;3.21974;3.686773;-5.369665;2.630548;0.85671;-14.156395;-2.187436;-5.510989
Information und Kommunikation ;4.275196;7.450164;5.294886;1.415953;4.924826;2.481242;-0.911778;2.180296;1.729114
Finanz- und  Versicherungsdienstleister ;-0.160016;-1.838472;0.983966;1.0265622994999999E-2;0.837556;0.735547;-0.485536;-0.126284;-7.8616352200999995E-2
Grundstücks- und Wohnungswesen ;1.717471;2.203697;2.978124;2.177553;3.799066;2.588949;0.838434;2.849371;2.411235
Unternehmensdienstleister ;6.321971;4.385418;2.734818;-6.554573;2.744529;-9.2885419201000005E-2;-11.863915;-7.420224;-7.064922
Öffentliche  Dienstleister, Erziehung, Gesundheit ;4.336697;4.126012;4.918689;1.744624;4.862935;4.258605;-2.479623;3.613213;1.492518
Sonstige Dienstleister ;2.866421;3.362332;3.441245;-8.437697;2.968403;0.344408;-17.292612;-3.229204;-13.773885
p r e i s b e r e i n i g t;;;;;;;;;
Kettenindex (2015 = 100);;;;;;;;;
Bruttowertschöpfung ;105.02;106.38;106.85;101.26;107.84;104.58;93.38;103.1;103.97
Land- und Forstwirtschaft, Fischerei ;94.7;81.28;84.26;83.67;81.79;80.85;84.99;87.82;81.01
Produzierendes Gewerbe ohne Baugewerbe ;108.55;109.27;105.36;95.12;104.82;100.95;82.86;93.76;102.92
darunter: Verarbeitendes Gewerbe ;107.52;108.32;104.58;93.63;103.26;98.76;81.34;93.26;101.16
Baugewerbe ;101.95;103.66;107.25;110.25;120.44;94.52;108.64;111.04;126.78
Handel, Verkehr und Gastgewerbe ;105.03;107.49;109.74;103.04;112.07;104.01;95.49;107.62;105.05
Information und Kommunikation ;108.18;115.8;120.15;119.05;122;123.69;109.91;121.39;121.21
Finanz- und  Versicherungsdienstleister ;100.77;97.11;99.09;98.93;98.98;99.47;98.72;98.97;98.57
Grundstücks- und Wohnungswesen ;100.42;100.75;101.77;101.28;101.38;103.04;99.41;102.18;100.48
Unternehmensdienstleister ;107.16;109.76;110.78;101.85;111.42;111;92.01;103.1;101.3
Öffentliche  Dienstleister, Erziehung, Gesundheit ;104.19;105.66;107.39;104.22;107.47;108.32;96.42;108.12;104.02
Sonstige Dienstleister ;99.44;101.02;102.14;90.5;102.25;100.22;79.94;98.16;83.69
Veränderungen gegenüber dem entsprechenden Zeitraum des Vorjahres in %;;;;;;;;;
Bruttowertschöpfung ;2.709046;1.294991;0.441812;-5.231633;4.6386492252999997E-2;-1.48832;-11.513314;-4.413128;-3.58865
Land- und Forstwirtschaft, Fischerei ;-3.613232;-14.171067;3.666339;-0.700214;3.361557;-1.2367054168E-2;-1.013277;-0.790782;-0.953662
