Altersgruppe;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10
Gesamt;26.97;40.89;43.39;32.69;20.89;14.88;8.9499999999999993;7.5;5.72;4.3499999999999996;3.86;2.83;2.82;4.96;3.87;3.24;2.92;3.63;4.7300000000000004;5.8;7.28;9.56;11.53;10.61;10.37;11.75;14.78;15.71;19.16;31.42;50.6;90;133.62;151.30000000000001;153.80000000000001;154.51;148.27000000000001;154.52000000000001;188.26;210.38;167.46;148.15;174.99;143.09;114.93;94.13;77.739999999999995;61.16;63.12;67.91;70.27;85
90+;12.27;51.52;142.28;151.02000000000001;103.03;70.59;34.630000000000003;25.27;17.37;12.51;8.75;5.0999999999999996;5.59;4.5;3.4;2.92;1.82;3.28;2.0699999999999998;4.74;3.4;3.04;2.19;3.52;2.92;5.47;8.99;11.42;14.34;22.36;53.22;107.41;178.24;209.47;281.88;373.37;427.19;508.48;657.68;726.57;639.21;604.46;658.16;612.48;479.19;350.28;235.1;158.91999999999999;130.86000000000001;101.09;74.599999999999994;73.14
85 - 89;14.07;47.19;92.59;91.06;59.21;43.55;20.85;16.82;11.45;8.1199999999999992;5.44;3.26;3.26;3.01;2.17;1.79;1.28;1.53;2.17;2.62;2.56;3.58;1.47;2.11;1.6;5.44;6.59;7.74;10.55;19.57;36.770000000000003;73.28;114.21;146.69;181.03;215.69;262.05;294.08999999999997;379.27;444.56;375.05;357.84;388.86;354.97;284.56;212.81;164.98;105.83;93.68;77.12;61.32;58.51
80 - 84;14.21;38.92;59.68;52.12;35.85;24.95;13.72;9.08;7.47;4.6399999999999997;3.4;2.31;1.88;1.88;1.55;1.49;1.0900000000000001;1.1499999999999999;1.55;2.73;2.09;2.46;1.94;1.52;1.82;4.04;5.92;6.44;9.59;14.27;26.01;55.76;86.18;104.3;115.56;132.35;145.25;165.44;215.19;251.28;225.79;208.6;232.83;203.11;161.80000000000001;127.22;95.5;69.819999999999993;60.74;54.12;46.81;49.09
75 - 79;14.76;36.299999999999997;46.1;33.950000000000003;22.03;15.14;9.0500000000000007;7.09;4.54;2.73;2.12;1.5;1.19;1.68;1.47;1.03;1.03;1.1399999999999999;1.47;1.83;1.42;1.83;1.73;1.78;1.93;3.79;4.67;5.98;8;13;23.29;41.92;68.39;78.78;84.95;87.43;90.16;102.54;128.88;153.44;132.05000000000001;119.83;134.87;111.37;88.15;72.900000000000006;57.06;43.78;44.16;40.79;35.06;36.729999999999997
70 - 74;16.850000000000001;36.119999999999997;38.57;28.58;17.170000000000002;11.54;7.48;5.63;3.51;2.5299999999999998;2.1800000000000002;1.28;1.0900000000000001;1.58;1.0900000000000001;1.01;1.52;1.69;1.71;2.42;2.48;2.15;2.61;2.5;2.89;4.08;7.05;7.24;9.5;15.98;25.39;48.99;78.47;86.55;89.71;91.42;87.1;94.83;119.59;140.71;121.23;112.63;131.35;99.64;83.37;67.58;56.26;42.89;43.3;44.88;42.43;48.56
65 - 69;18.25;33.9;34.82;22.99;13.62;10.37;5.47;4.28;3;2.5299999999999998;2.2000000000000002;1.23;1.05;1.42;1.36;1.28;1.28;1.46;1.75;1.77;2.4900000000000002;2.2599999999999998;2.4900000000000002;2.7;2.63;4.6500000000000004;5.97;6.28;9.2799999999999994;14.08;26.43;46.63;73.14;87.67;82.65;85.57;85.22;84.87;106.56;130.71;115.04;102.53;117.64;90.8;74.58;64.400000000000006;52.13;39.51;42.13;43.88;41.08;46.76
60 - 64;28.26;44.71;49.26;31.78;19.25;11.93;7.17;5.88;4.25;3.1;2.97;1.89;1.61;2.16;1.91;1.97;1.65;1.95;2.69;2.69;3.61;3.4;4.2;4.32;4.3899999999999997;5.98;8.73;9.6;12.06;22.49;37.5;70.08;106.22;121.53;122.42;129.47999999999999;123.98;135.54;167.04;195.23;162.61000000000001;146.5;164.12;133.65;110.4;90.78;74.739999999999995;56.5;57.69;62.33;60.64;71.92
55 - 59;38.590000000000003;53.33;54.46;38.69;23.24;15.73;8.91;7.57;5.34;3.95;3.52;2.11;1.99;2.76;3.01;2.3199999999999998;1.72;2.63;3.58;4.2300000000000004;4.57;4.84;6.38;5.27;5.83;8.25;11.31;12.84;16.46;27.79;44.51;85.51;133.19999999999999;150.88999999999999;152.91999999999999;152.03;146.65;153.88999999999999;193.94;222.89;183.77;164.53;183.01;148.99;123.88;104.27;86.28;66.88;68.31;71.959999999999994;68.83;83.65
50 - 54;46.05;59.61;55.09;38.93;23.26;14.8;9.02;7.75;5.59;3.76;3.58;2.2400000000000002;2.1800000000000002;4.74;3.99;2.77;2.56;3.1;4.38;5.22;6.23;7.05;8.35;8.02;8.23;9.98;13.35;14.83;18;33.83;53.31;95.7;145.66999999999999;163.38999999999999;164.08;161.5;154.15;157.37;197.65;222.39;178.79;156.88;180.17;145.99;122.01;99.61;79.010000000000005;64.17;67.23;70.680000000000007;73.72;87.27
