Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16
Gesamt;1.08;7.73;26.95;40.85;43.35;32.65;20.85;14.86;8.94;7.5;5.72;4.34;3.85;2.83;2.82;4.96;3.86;3.23;2.92;3.63;4.72;5.8;7.28;9.56;11.53;10.61;10.36;11.75;14.78;15.71;19.149999999999999;31.42;50.6;89.96;133.56;151.26;153.72;154.46;148.24;154.52000000000001;188.19;210.34;167.39;148.13;174.93;143.09;114.92;94.08;77.760000000000005;61.14;63.12;67.89;70.34;85.91;111.57;140.24;132.79;142.59;171.37;173.23
90+;0.12;1.58;12.39;51.52;142.15;150.9;103.03;70.59;34.630000000000003;25.15;17.13;12.51;8.75;5.0999999999999996;5.59;4.5;3.4;2.92;1.82;3.28;2.0699999999999998;4.74;3.4;3.04;2.19;3.52;2.92;5.47;8.99;11.42;14.34;22.36;53.34;107.41;178;209.59;281.39;373.25;427.07;508.84;657.44;726.45;638.85;604.70000000000005;658.04;611.75;478.83;350.16;234.98;158.31;130.25;101.33;74.599999999999994;74.11;78.73;81.28;77.64;91;100.24;103.52
85 - 89;0.38;2.4300000000000002;13.94;47.06;92.53;91.12;59.15;43.48;20.72;16.75;11.45;8.06;5.44;3.26;3.26;3.01;2.11;1.79;1.28;1.53;2.17;2.62;2.56;3.58;1.47;2.11;1.6;5.44;6.59;7.74;10.55;19.57;36.770000000000003;73.28;114.34;146.44;181.03;215.56;261.86;293.95999999999998;378.82;444.3;374.73;357.52;388.79;355.29;284.69;212.56;165.05;105.7;93.68;76.930000000000007;61.58;60.11;71.489999999999995;80.569999999999993;76.03;68.61;77.63;75.069999999999993
80 - 84;0.36;2.58;14.24;38.89;59.65;52.06;35.76;24.92;13.72;9.14;7.44;4.6399999999999997;3.4;2.31;1.88;1.88;1.55;1.49;1.0900000000000001;1.1499999999999999;1.55;2.73;2.09;2.46;1.94;1.52;1.82;4.04;5.95;6.44;9.59;14.24;26.01;55.73;86.15;104.21;115.59;132.35;145.13;165.5;215.16;251.28;225.88;208.66;232.74;203.05;161.77000000000001;127.19;95.62;69.760000000000005;60.71;53.94;47.05;49.81;54.7;64.84;57.83;59.5;67.540000000000006;60.83
75 - 79;0.62;2.94;14.73;36.22;46.15;33.950000000000003;22;15.14;9.0500000000000007;7.07;4.49;2.71;2.12;1.5;1.19;1.68;1.47;1.03;1.03;1.1399999999999999;1.47;1.83;1.42;1.83;1.73;1.78;1.93;3.79;4.67;5.98;8;13;23.29;41.95;68.34;78.760000000000005;84.85;87.35;90.21;102.59;128.91;153.52000000000001;132.11000000000001;119.85;134.71;111.52;87.99;72.88;56.96;43.78;44.27;40.729999999999997;35.26;36.97;48.96;57.5;56.26;60.86;70.010000000000005;63.95
70 - 74;0.3;3.95;16.850000000000001;36.090000000000003;38.43;28.44;17.170000000000002;11.54;7.48;5.63;3.51;2.5299999999999998;2.1800000000000002;1.28;1.0900000000000001;1.58;1.0900000000000001;1.01;1.52;1.69;1.71;2.42;2.48;2.15;2.61;2.5;2.86;4.1100000000000003;7.02;7.21;9.5299999999999994;15.98;25.42;48.96;78.41;86.58;89.85;91.45;87.01;94.83;119.46;140.63;121.25;112.65;131.32;99.62;83.42;67.53;56.18;43.03;43.52;44.83;42.46;49.32;64.81;77.540000000000006;78.989999999999995;86.12;98.66;91.21
65 - 69;0.51;4.88;18.21;33.880000000000003;34.78;22.99;13.56;10.35;5.47;4.28;3;2.5299999999999998;2.1800000000000002;1.23;1.05;1.44;1.36;1.28;1.28;1.46;1.75;1.77;2.4900000000000002;2.2599999999999998;2.4900000000000002;2.65;2.61;4.63;5.97;6.28;9.2799999999999994;14.1;26.43;46.59;73.08;87.61;82.67;85.43;85.22;84.89;106.56;130.75;115.11;102.45;117.66;90.82;74.62;64.290000000000006;52.17;39.51;42.09;43.73;41.1;47.31;65.75;80.349999999999994;81.849999999999994;88.6;101.36;94.63
60 - 64;1.08;7.56;28.29;44.65;49.19;31.64;19.18;11.93;7.17;5.88;4.2300000000000004;3.08;2.96;1.88;1.61;2.16;1.89;1.97;1.65;1.95;2.69;2.69;3.61;3.4;4.2;4.32;4.3899999999999997;5.98;8.69;9.6;12.06;22.5;37.54;70.12;106.17;121.55;122.4;129.38;123.96;135.49;167.11;195.32;162.63;146.59;164.1;133.69999999999999;110.33;90.8;74.760000000000005;56.43;57.6;62.34;60.68;73.069999999999993;93.95;116.61;113.67;121.84;134.65;136.27000000000001
55 - 59;1.1399999999999999;11.15;38.5;53.32;54.41;38.67;23.2;15.75;8.89;7.57;5.34;3.92;3.52;2.11;1.99;2.76;3.01;2.2999999999999998;1.72;2.63;3.58;4.26;4.5599999999999996;4.84;6.38;5.25;5.82;8.25;11.3;12.85;16.46;27.76;44.5;85.43;133.15;150.94;152.88999999999999;152.02000000000001;146.63;153.87;193.89;222.88;183.78;164.59;183.09;149.05000000000001;123.82;104.23;86.31;66.91;68.319999999999993;71.930000000000007;68.87;84.78;108.13;135.19999999999999;133.11000000000001;144.33000000000001;159.11000000000001;162.53
50 - 54;1.98;14.6;46.05;59.57;55.04;38.880000000000003;23.23;14.77;9;7.75;5.6;3.74;3.59;2.2400000000000002;2.1800000000000002;4.72;3.98;2.77;2.58;3.1;4.38;5.22;6.21;7.05;8.32;8.02;8.2100000000000009;9.98;13.37;14.84;17.97;33.86;53.31;95.63;145.63;163.33000000000001;164.02;161.5;154.16999999999999;157.44999999999999;197.64;222.51;178.77;156.88;180.13;146.02000000000001;121.93;99.68;79.13;64.2;67.209999999999994;70.790000000000006;73.680000000000007;88.03;112.25;139.56;136.41999999999999;148.59;165.94;172.35
