Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14
Gesamt;1.08;7.74;26.99;40.87;43.38;32.68;20.86;14.87;8.94;7.50;5.73;4.34;3.85;2.83;2.82;4.96;3.86;3.23;2.92;3.63;4.72;5.80;7.28;9.56;11.53;10.61;10.36;11.75;14.79;15.71;19.16;31.42;50.61;89.98;133.59;151.28;153.75;154.48;148.25;154.53;188.22;210.36;167.41;148.16;174.94;143.10;114.94;94.08;77.77;61.17;63.14;67.92;70.36;85.93;111.59;140.32;132.79;140.82
90+;0.12;1.58;12.39;51.52;142.28;151.02;103.03;70.59;34.63;25.27;17.37;12.51;8.75;5.10;5.59;4.50;3.40;2.92;1.82;3.28;2.07;4.74;3.40;3.04;2.19;3.52;2.92;5.47;8.99;11.42;14.34;22.36;53.22;107.53;178.12;209.59;281.64;373.37;426.95;508.60;657.56;726.81;638.97;604.83;658.16;612.12;479.19;350.16;235.47;158.31;130.25;101.33;74.97;74.36;78.61;81.28;77.88;93.31
85 - 89;0.38;2.43;14.00;47.13;92.53;91.12;59.15;43.55;20.85;16.82;11.45;8.12;5.44;3.26;3.26;3.01;2.11;1.79;1.28;1.53;2.17;2.62;2.56;3.58;1.47;2.11;1.60;5.44;6.59;7.74;10.55;19.57;36.77;73.28;114.34;146.44;180.90;215.69;261.92;294.03;379.01;444.49;374.92;357.59;388.86;355.22;284.69;212.49;164.98;105.83;93.75;77.12;61.45;60.05;71.43;80.76;75.84;67.85
80 - 84;0.36;2.58;14.24;38.89;59.68;52.06;35.85;24.92;13.72;9.11;7.47;4.64;3.40;2.31;1.88;1.88;1.55;1.49;1.09;1.15;1.55;2.73;2.09;2.46;1.94;1.52;1.82;4.04;5.92;6.44;9.59;14.27;26.01;55.76;86.15;104.21;115.56;132.35;145.10;165.53;215.25;251.31;225.94;208.70;232.77;203.05;161.77;127.16;95.62;69.82;60.80;54.06;47.02;49.94;54.82;65.02;57.95;58.89
75 - 79;0.62;2.94;14.78;36.27;46.13;33.95;22.03;15.14;9.05;7.07;4.54;2.71;2.12;1.50;1.19;1.68;1.47;1.03;1.03;1.14;1.47;1.83;1.42;1.83;1.73;1.78;1.93;3.79;4.67;5.98;8.00;13.00;23.29;41.95;68.39;78.71;84.90;87.35;90.16;102.59;128.93;153.52;132.13;119.85;134.74;111.49;88.02;72.90;57.06;43.83;44.27;40.79;35.24;37.02;48.96;57.53;56.24;60.11
70 - 74;0.30;3.95;16.87;36.12;38.57;28.50;17.17;11.54;7.48;5.63;3.51;2.53;2.18;1.28;1.09;1.58;1.09;1.01;1.52;1.69;1.71;2.42;2.48;2.15;2.61;2.50;2.89;4.11;7.05;7.21;9.53;15.98;25.42;48.96;78.44;86.63;89.85;91.42;87.04;94.88;119.49;140.74;121.23;112.68;131.35;99.64;83.39;67.55;56.18;42.98;43.47;44.85;42.43;49.26;64.91;77.52;78.88;84.18
65 - 69;0.51;4.90;18.23;33.94;34.78;22.99;13.60;10.37;5.47;4.28;3.00;2.53;2.18;1.23;1.05;1.42;1.36;1.28;1.28;1.46;1.75;1.77;2.49;2.26;2.49;2.68;2.61;4.63;5.97;6.28;9.28;14.10;26.43;46.66;73.10;87.63;82.65;85.45;85.24;84.91;106.56;130.77;115.08;102.51;117.70;90.84;74.62;64.37;52.17;39.53;42.11;43.77;41.08;47.27;65.73;80.51;81.87;87.94
60 - 64;1.08;7.56;28.35;44.69;49.26;31.73;19.19;11.93;7.17;5.88;4.25;3.10;2.96;1.88;1.61;2.16;1.89;1.97;1.65;1.95;2.69;2.69;3.61;3.40;4.20;4.32;4.39;5.98;8.71;9.60;12.06;22.50;37.54;70.12;106.17;121.61;122.40;129.41;123.96;135.50;167.09;195.32;162.68;146.61;164.06;133.72;110.36;90.78;74.74;56.45;57.65;62.34;60.68;73.09;94.02;116.65;113.50;120.24
55 - 59;1.14;11.18;38.59;53.33;54.46;38.68;23.23;15.73;8.89;7.57;5.34;3.95;3.52;2.11;1.99;2.76;3.01;2.30;1.72;2.63;3.58;4.26;4.56;4.84;6.37;5.25;5.83;8.25;11.31;12.84;16.46;27.76;44.50;85.45;133.15;150.95;152.92;152.02;146.63;153.87;193.83;222.88;183.80;164.62;183.06;148.99;123.85;104.26;86.30;66.94;68.34;71.99;68.90;84.78;108.03;135.04;133.33;142.18
50 - 54;1.98;14.60;46.09;59.58;55.07;38.91;23.23;14.78;9.00;7.75;5.60;3.74;3.59;2.24;2.18;4.72;3.99;2.77;2.58;3.10;4.38;5.22;6.21;7.05;8.35;8.02;8.21;9.98;13.37;14.84;17.97;33.86;53.31;95.67;145.66;163.35;164.05;161.51;154.14;157.46;197.65;222.50;178.82;156.91;180.17;146.05;121.99;99.65;79.12;64.26;67.27;70.77;73.78;88.10;112.25;139.62;136.12;146.42
