
Stand: 24.04.2021 08:12:20;;;


Landkreis;LKNR;Anzahl;Inzidenz
StadtRegion Aachen;05334;718;128.898831
LK Ahrweiler;07131;143;109.927279
LK Aichach-Friedberg;09771;285;211.652
LK Alb-Donau-Kreis;08425;358;181.655808
LK Altenburger Land;16077;205;229.324444
LK Altenkirchen;07132;141;109.4678
LK Altmarkkreis Salzwedel;15081;145;174.335421
LK Altötting;09171;234;209.83536
LK Alzey-Worms;07331;182;140.33789
SK Amberg;09361;74;175.326368
LK Amberg-Sulzbach;09371;140;135.857699
LK Ammerland;03451;141;112.927382
LK Anhalt-Bitterfeld;15082;199;125.563141
SK Ansbach;09561;71;169.864587
LK Ansbach;09571;366;198.276189
SK Aschaffenburg;09661;136;191.5439
LK Aschaffenburg;09671;228;130.884041
SK Augsburg;09761;567;191.178156
LK Augsburg;09772;519;204.759575
LK Aurich;03452;81;42.700349
LK Bad Dürkheim;07332;170;128.136518
LK Bad Kissingen;09672;163;157.892188
LK Bad Kreuznach;07133;215;135.779469
LK Bad Tölz-Wolfratshausen;09173;178;139.152732
SK Baden-Baden;08211;102;184.832835
SK Bamberg;09461;103;133.121373
LK Bamberg;09471;220;149.494098
LK Barnim;12060;125;67.478569
LK Bautzen;14625;739;246.532203
SK Bayreuth;09462;133;177.847907
LK Bayreuth;09472;130;125.405155
LK Berchtesgadener Land;09172;130;122.723711
LK Bergstraße;06431;442;163.497818
SK Berlin Charlottenburg-Wilmersdorf;11004;417;124.700584
SK Berlin Friedrichshain-Kreuzberg;11002;304;107.778869
SK Berlin Lichtenberg;11011;420;146.585603
SK Berlin Marzahn-Hellersdorf;11010;409;155.532824
SK Berlin Mitte;11001;686;182.817305
SK Berlin Neukölln;11008;577;179.681929
SK Berlin Pankow;11003;391;98.232321
SK Berlin Reinickendorf;11012;372;143.24827
SK Berlin Spandau;11005;352;147.268627
SK Berlin Steglitz-Zehlendorf;11006;280;92.660924
SK Berlin Tempelhof-Schöneberg;11007;437;127.86302
SK Berlin Treptow-Köpenick;11009;222;83.305815
LK Bernkastel-Wittlich;07231;143;127.130322
LK Biberach;08426;463;230.025536
SK Bielefeld;05711;667;199.584075
LK Birkenfeld;07134;118;145.767192
LK Bitburg-Prüm;07232;92;92.874881
LK Böblingen;08115;697;177.44083
SK Bochum;05911;682;186.549303
LK Bodenseekreis;08435;339;155.88357
SK Bonn;05314;654;198.378393
LK Börde;15083;151;88.343874
LK Borken;05554;546;147.035458
SK Bottrop;05512;138;117.381874
SK Brandenburg a.d.Havel;12051;92;127.452067
SK Braunschweig;03101;222;89.011491
LK Breisgau-Hochschwarzwald;08315;177;67.146938
SK Bremen;04011;943;166.150127
SK Bremerhaven;04012;175;153.991007
LK Burgenlandkreis;15084;490;273.97873
LK Calw;08235;377;236.807558
LK Celle;03351;146;81.559234
LK Cham;09372;289;225.784778
SK Chemnitz;14511;657;266.711051
LK Cloppenburg;03453;297;174.007804
SK Coburg;09463;99;241.040125
LK Coburg;09473;157;180.986086
LK Cochem-Zell;07135;48;78.207739
LK Coesfeld;05558;210;95.200965
SK Cottbus;12052;192;192.620237
LK Cuxhaven;03352;151;76.247993
LK Dachau;09174;384;247.903473
LK Dahme-Spreewald;12061;214;125.299342
SK Darmstadt;06411;187;116.964185
LK Darmstadt-Dieburg;06432;354;118.854165
LK Deggendorf;09271;267;223.472104
SK Delmenhorst;03401;152;195.979835
SK Dessau-Roßlau;15001;107;133.578018
LK Diepholz;03251;212;97.6558
LK Dillingen a.d.Donau;09773;162;167.767859
LK Dingolfing-Landau;09279;286;295.812087
LK Dithmarschen;01051;95;71.32507
LK Donau-Ries;09779;331;247.415591
LK Donnersbergkreis;07333;179;237.636907
SK Dortmund;05913;1241;210.964726
SK Dresden;14612;787;141.348468
SK Duisburg;05112;1192;239.028166
LK Düren;05358;453;171.177231
SK Düsseldorf;05111;1031;165.788412
LK Ebersberg;09175;166;115.559454
LK Eichsfeld;16061;140;139.991601
LK Eichstätt;09176;224;168.57188
SK Eisenach;16056;80;189.349112
LK Elbe-Elster;12062;167;164.003653
SK Emden;03402;69;138.240539
LK Emmendingen;08316;154;92.543628
LK Emsland;03454;433;132.434532
LK Ennepe-Ruhr-Kreis;05954;513;158.28155
LK Enzkreis;08236;448;224.498386
LK Erding;09177;288;208.420778
SK Erfurt;16051;376;175.716536
SK Erlangen;09562;120;106.640125
LK Erlangen-Höchstadt;09572;199;144.978217
LK Erzgebirgskreis;14521;1221;364.534196
SK Essen;05113;982;168.508477
LK Esslingen;08116;1180;220.550854
LK Euskirchen;05366;385;198.80613
SK Flensburg;01001;38;42.145424
LK Forchheim;09474;124;106.70981
SK Frankenthal;07311;99;203.026947
SK Frankfurt (Oder);12053;87;150.646742
SK Frankfurt am Main;06412;1407;184.311876
SK Freiburg i.Breisgau;08311;222;96.022838
LK Freising;09178;317;176.104263
LK Freudenstadt;08237;258;218.194735
LK Freyung-Grafenau;09272;186;237.359945
LK Friesland;03455;49;49.643378
LK Fulda;06631;606;271.572296
LK Fürstenfeldbruck;09179;336;153.207089
SK Fürth;09563;349;271.601672
LK Fürth;09573;188;159.520759
LK Garmisch-Partenkirchen;09180;77;87.080431
SK Gelsenkirchen;05513;691;266.132604
SK Gera;16052;254;272.751678
LK Germersheim;07334;193;149.597327
LK Gießen;06531;593;219.071403
LK Gifhorn;03151;132;74.777791
LK Göppingen;08117;597;231.265374
LK Görlitz;14626;554;219.210604
LK Goslar;03153;104;76.306753
LK Gotha;16067;410;303.910813
LK Göttingen;03159;220;67.476176
LK Grafschaft Bentheim;03456;235;171.330252
LK Greiz;16076;292;299.800817
LK Groß-Gerau;06433;577;209.26572
LK Günzburg;09774;322;253.489416
LK Gütersloh;05754;767;210.172687
SK Hagen;05914;501;265.520494
SK Halle;15002;409;171.300291
SK Hamburg;02000;1940;105.020807
LK Hameln-Pyrmont;03252;160;107.708568
SK Hamm;05915;444;246.781832
Region Hannover;03241;1540;133.089624
LK Harburg;03353;206;80.964977
LK Harz;15085;389;182.363696
LK Haßberge;09674;291;344.852105
LK Havelland;12063;199;122.088886
LK Heidekreis;03358;115;81.749874
SK Heidelberg;08221;161;99.699663
LK Heidenheim;08135;345;259.834158
SK Heilbronn;08121;367;289.907735
LK Heilbronn;08125;973;282.474394
LK Heinsberg;05370;396;154.956859
LK Helmstedt;03154;76;83.244794
LK Herford;05758;439;175.194949
SK Herne;05916;451;288.272856
LK Hersfeld-Rotenburg;06632;321;265.906775
LK Herzogtum Lauenburg;01053;201;101.505411
LK Hildburghausen;16069;97;153.488298
LK Hildesheim;03254;320;116.018955
LK Hochsauerlandkreis;05958;377;145.124472
LK Hochtaunuskreis;06434;314;132.537545
SK Hof;09464;151;329.514457
LK Hof;09475;255;268.984504
LK Hohenlohekreis;08126;239;212.152146
LK Holzminden;03255;58;82.318544
LK Höxter;05762;106;75.578784
LK Ilm-Kreis;16070;312;293.649823
SK Ingolstadt;09161;244;177.594037
SK Jena;16053;153;137.413219
LK Jerichower Land;15086;109;121.666722
SK Kaiserslautern;07312;163;162.951115
LK Kaiserslautern;07335;121;114.173563
SK Karlsruhe;08212;453;145.164391
LK Karlsruhe;08215;708;159.065021
SK Kassel;06611;424;209.758728
LK Kassel;06633;412;174.012941
SK Kaufbeuren;09762;78;175.683589
LK Kelheim;09273;275;223.471859
SK Kempten;09763;184;266.084366
SK Kiel;01002;217;87.927583
LK Kitzingen;09675;125;137.129066
LK Kleve;05154;487;155.857456
SK Koblenz;07111;149;130.642163
SK Köln;05315;2608;239.73607
LK Konstanz;08335;449;156.825763
