

;;05-06-20;05-07-20;05-08-20;05-09-20;05-10-20;05-11-20;05-12-20;05-13-20;05-14-20;05-15-20;05-16-20;05-17-20;05-18-20;05-19-20;05-20-20;05-21-20;05-22-20;05-23-20;05-24-20;05-25-20;05-26-20;05-27-20;05-28-20;05-29-20;05-30-20;05-31-20;06-01-20;06-02-20;06-03-20;06-04-20;06-05-20;06-06-20;06-07-20;06-08-20;06-09-20;06-10-20;06-11-20;06-12-20;06-13-20;06-14-20;06-15-20;06-16-20;06-17-20;06-18-20;06-19-20;06-20-20;06-21-20;06-22-20;06-23-20;06-24-20;06-25-20;06-26-20;06-27-20;06-28-20;06-29-20;06-30-20;07-01-20;07-02-20;07-03-20;07-04-20;07-05-20;07-06-20;07-07-20;07-08-20;07-09-20;07-10-20;07-11-20;07-12-20;07-13-20;07-14-20;07-15-20;07-16-20;07-17-20;07-18-20;07-19-20;07-20-20;07-21-20;07-22-20;07-23-20;07-24-20;07-25-20;07-26-20;07-27-20;07-28-20;07-29-20;07-30-20;07-31-20;08-01-20;08-02-20;08-03-20;08-04-20;08-05-20;08-06-20;08-07-20;08-08-20;08-09-20;08-10-20;08-11-20;08-12-20;08-13-20;08-14-20;08-15-20;08-16-20;08-17-20;08-18-20;08-19-20;08-20-20;08-21-20;08-22-20;08-23-20;08-24-20;08-25-20;08-26-20;08-27-20;08-28-20;08-29-20;08-30-20;08-31-20;09-01-20;09-02-20;09-03-20;09-04-20;09-05-20;09-06-20;09-07-20;09-08-20;09-09-20;09-10-20;09-11-20;09-12-20;09-13-20;09-14-20;09-15-20;09-16-20;09-17-20;09-18-20;09-19-20;09-20-20;09-21-20;09-22-20;09-23-20;09-24-20;09-25-20;09-26-20;09-27-20;09-28-20;09-29-20;09-30-20;10-01-20;10-02-20;10-03-20;10-04-20;10-05-20;10-06-20;10-07-20;10-08-20;10-09-20;10-10-20;10-11-20;10-12-20;10-13-20;10-14-20;10-15-20;10-16-20;10-17-20;10-18-20;10-19-20;10-20-20;10-21-20;10-22-20;10-23-20;10-24-20;10-25-20;10-26-20;10-27-20;10-28-20;10-29-20;10-30-20;10-31-20;11-01-20;11-02-20;11-03-20;11-04-20;11-05-20;11-06-20;11-07-20;11-08-20;11-09-20;11-10-20;11-11-20;11-12-20;11-13-20;;;;
Bremen;Bremen;17.4;18.4;20.5;22.7;24.9;24.2;22.1;23.4;19.6;19.0;18.0;17.9;17.1;19.5;19.3;17.6;16.8;14.3;12.0;12.4;11.0;9.5;10.7;11.9;15.1;14.6;12.7;18.0;18.2;16.5;18.0;16.0;13.0;14.1;14.1;14.6;14.8;11.0;10.0;10.4;8.8;8.8;8.6;7.9;7.8;8.1;8.2;8.2;8.9;6.7;5.0;4.7;3.4;2.5;2.0;1.3;2.0;2.2;2.5;2.3;2.5;2.6;2.5;1.8;1.9;1.9;2.0;1.6;1.6;1.8;1.5;1.9;1.9;2.9;4.2;4.4;4.4;5.0;4.4;4.7;4.8;4.1;4.0;4.5;4.8;5.3;6.0;5.7;5.1;5.1;5.1;4.7;4.2;3.5;2.8;3.1;3.2;3.4;4.2;4.4;4.4;5.1;5.6;6.0;5.7;6.7;8.1;8.3;8.5;8.6;8.8;9.1;8.6;9.8;10.8;12.9;13.6;13.0;13.2;13.5;13.9;13.5;11.6;11.4;11.7;10.8;10.5;8.5;9.1;8.9;9.2;9.5;9.4;10.4;11.3;9.5;10.4;12.2;12.0;12.3;13.6;13.2;15.4;19.3;22.4;22.5;23.7;27.5;31.2;33.8;34.8;34.3;36.5;36.5;39.5;49.5;53.9;47.9;66.4;68.0;70.8;67.8;68.8;73.1;78.2;72.4;75.3;76.3;82.6;88.7;74.6;100.6;114.9;121.3;126.8;143.0;152.2;160.3;175.7;176.7;189.4;207.7;209.6;217.0;;;;;;;;;;;;
Nordrhein-Westfalen;North Rhine-Westphalia;8.2;8.4;7.7;8.1;8.1;8.3;8.6;8.4;7.8;7.3;6.6;6.8;6.6;6.2;6.6;6.2;5.6;5.1;4.8;4.7;4.3;4.0;3.9;3.9;4.0;4.1;4.0;3.6;3.2;3.1;3.2;3.3;3.3;3.3;3.5;3.7;3.9;3.5;3.3;3.3;3.5;3.6;3.9;4.2;6.0;6.7;9.1;10.4;11.0;11.3;9.6;9.2;9.3;8.5;8.5;7.9;7.5;7.1;6.7;6.3;6.2;6.0;5.3;5.2;5.2;5.0;4.8;4.8;4.8;5.1;5.0;4.8;5.7;5.9;5.9;5.8;6.1;6.1;6.3;6.7;7.3;7.4;7.4;8.0;8.2;8.6;9.1;9.3;9.6;10.1;10.8;11.1;11.4;12.0;12.1;12.2;12.4;13.1;13.2;13.7;14.3;14.8;14.6;15.0;15.3;14.7;13.9;11.9;12.8;12.0;11.8;11.3;11.2;10.5;10.5;9.5;9.2;8.9;9.2;9.0;8.7;8.6;8.7;8.7;9.0;9.0;8.6;8.9;8.9;9.0;9.3;9.7;11.1;12.3;12.6;13.7;14.9;15.3;15.1;15.8;16.1;16.2;16.2;16.7;17.2;18.1;18.9;19.3;20.6;21.6;22.0;21.8;22.2;24.5;25.4;27.0;28.6;32.4;34.1;36.8;39.7;41.5;45.0;49.8;52.4;54.7;55.4;62.2;67.0;70.8;74.5;87.5;96.0;104.8;116.8;121.8;131.5;140.0;146.6;147.3;151.8;162.5;167.3;168.3;;;;;;;;;;;;
Berlin;Berlin;7.4;7.1;7.3;7.5;7.2;6.6;5.3;4.5;4.2;4.1;4.8;4.9;5.0;5.1;4.9;4.6;4.2;4.6;4.8;4.7;4.1;3.4;2.9;3.6;3.4;4.1;4.5;4.5;4.9;4.5;5.0;4.7;4.9;4.7;5.3;5.3;5.4;5.3;6.8;7.2;8.0;8.5;7.9;7.8;9.9;12.1;12.1;12.6;13.9;13.5;12.4;11.0;8.7;8.5;8.1;7.6;6.4;6.3;5.8;6.0;6.6;7.0;5.9;6.0;5.7;5.5;5.2;4.9;4.9;4.5;4.0;3.5;3.3;3.1;3.4;3.5;3.3;3.5;3.5;3.9;5.1;5.5;5.7;5.4;5.9;7.3;7.2;7.7;8.5;8.6;8.5;7.7;8.3;8.4;9.0;9.4;9.6;9.5;10.9;12.5;10.2;13.3;13.9;14.2;13.4;12.7;10.7;10.4;11.2;12.0;12.2;11.1;10.9;11.1;10.3;11.2;11.9;12.0;11.6;12.0;11.6;12.2;12.0;13.2;13.7;12.1;12.6;12.2;13.9;14.1;13.9;14.2;13.0;14.4;14.8;14.9;17.6;20.4;21.4;22.8;22.9;23.5;25.2;24.4;26.7;28.1;26.4;26.5;29.4;29.9;33.4;36.7;37.9;40.5;42.4;46.0;51.0;53.6;58.4;62.1;60.5;71.0;71.2;73.9;78.5;83.8;87.9;84.5;92.6;103.1;105.8;112.8;119.6;122.6;126.7;130.5;139.8;146.1;150.2;164.2;164.6;156.3;166.3;162.4;;;;;;;;;;;;
Hessen;Hesse ;7.1;6.7;6.8;6.6;7.3;7.1;7.1;6.5;6.2;5.6;5.1;5.3;5.4;5.4;5.9;6.2;6.8;5.9;6.8;5.8;5.4;5.0;4.5;4.8;4.6;4.3;4.3;4.0;3.1;3.1;2.7;2.3;2.2;2.1;2.5;2.5;2.6;2.4;2.1;1.8;1.7;1.9;1.9;2.2;3.0;3.5;3.5;3.4;3.9;3.8;3.1;3.1;2.5;2.7;2.6;2.8;2.4;2.9;2.7;2.6;2.7;2.9;3.1;3.0;3.0;3.2;3.0;3.4;3.3;3.5;3.2;3.4;3.5;3.5;3.4;3.7;3.5;3.3;3.7;4.0;4.3;4.3;4.2;4.8;5.4;5.6;5.9;5.7;6.6;6.9;6.9;6.8;6.3;7.5;8.3;9.1;9.3;9.5;9.3;9.5;10.4;11.7;11.2;11.7;13.2;14.3;14.8;15.5;15.5;17.4;17.7;17.1;18.3;16.2;14.8;13.4;12.0;11.7;11.6;10.4;10.0;10.2;9.4;10.5;10.6;10.7;10.5;11.1;10.5;10.6;10.9;11.1;10.8;10.9;11.5;11.6;12.2;11.9;11.7;11.9;12.2;12.0;12.6;13.5;15.7;15.8;16.2;16.6;16.2;16.6;17.9;18.5;20.7;20.6;22.1;23.0;25.8;29.9;31.8;32.6;34.1;36.9;41.7;46.8;53.6;55.1;58.4;64.5;69.9;76.3;80.5;93.9;104.1;109.0;119.5;129.2;137.0;145.8;151.0;148.9;160.8;159.7;155.5;151.9;;;;;;;;;;;;
Saarland;Saarland;9.5;8.8;6.5;5.6;5.2;5.0;4.1;3.5;3.0;2.9;2.9;3.3;3.3;3.4;3.1;2.7;2.0;1.8;1.8;2.1;2.2;2.1;2.0;2.0;2.4;2.1;2.0;2.1;2.3;2.1;1.9;1.6;2.2;2.2;2.2;2.9;2.9;3.1;2.7;2.4;2.3;1.5;0.8;0.7;0.8;0.9;1.0;1.0;0.9;0.7;0.6;0.5;0.4;0.6;0.7;0.6;0.6;0.6;0.6;0.4;0.3;0.3;0.3;0.5;0.5;0.7;0.7;0.6;0.6;1.3;1.5;1.5;1.5;1.2;1.0;1.1;1.1;1.2;1.6;1.4;2.0;2.0;2.1;2.1;2.2;2.2;2.0;2.3;2.6;2.8;3.1;2.9;2.9;2.4;3.4;3.6;3.8;5.0;5.6;4.5;5.8;6.1;7.0;6.9;6.3;6.3;7.9;6.4;6.2;7.1;7.3;7.0;6.6;5.7;5.6;4.9;7.4;7.3;6.8;6.5;6.6;6.0;5.5;4.5;4.7;4.4;5.0;4.8;4.5;3.2;4.3;4.4;4.6;4.5;5.8;5.9;6.1;6.0;6.1;5.7;6.8;5.6;4.9;6.0;6.1;6.0;5.2;3.7;4.7;6.5;9.2;8.4;8.4;14.9;16.6;14.2;16.7;17.7;23.8;26.2;26.5;37.2;43.1;44.8;59.3;66.0;67.6;66.9;58.5;62.8;69.5;70.9;90.7;91.3;99.9;96.9;101.2;116.5;105.5;143.2;160.5;164.1;144.7;147.4;;;;;;;;;;;;
Bayern;Bavaria;10.1;9.5;9.0;9.4;8.8;8.8;9.2;9.1;8.5;7.8;7.8;7.6;7.5;7.0;6.3;6.1;5.3;5.2;5.0;5.4;5.6;4.8;5.3;5.4;4.9;4.7;4.6;4.2;3.4;3.0;2.8;2.8;2.3;2.2;2.3;2.5;2.6;2.2;2.1;2.1;1.9;1.9;1.8;1.5;1.6;1.7;1.7;1.8;1.9;1.9;1.9;2.1;2.3;2.3;2.4;2.6;2.9;2.9;3.0;2.9;2.6;3.0;3.3;3.5;3.5;3.5;3.6;3.2;3.5;3.5;3.3;3.7;3.7;3.5;3.1;3.5;3.8;3.7;3.6;3.4;3.8;3.6;4.9;5.0;5.2;5.4;5.5;5.6;4.5;4.5;4.8;4.8;5.5;5.7;5.3;4.8;4.6;4.4;4.9;6.0;6.6;7.5;7.5;8.0;9.0;10.8;12.2;12.8;14.3;13.9;14.2;14.0;14.4;14.6;15.0;15.2;14.4;14.8;14.1;13.9;12.4;11.7;12.0;13.1;14.5;16.3;16.2;18.3;18.3;18.5;17.2;17.8;17.8;17.4;19.6;18.8;19.7;19.5;20.1;20.2;19.1;18.6;17.5;17.3;16.8;16.3;16.4;15.5;16.0;15.8;15.6;16.1;16.3;16.0;16.3;18.1;21.0;23.1;24.1;25.6;27.4;28.8;31.9;35.4;39.1;43.8;47.4;50.9;55.0;61.3;66.7;74.4;79.6;87.2;92.2;104.8;107.8;114.1;118.5;123.2;130.1;135.3;141.7;145.7;;;;;;;;;;;;
Baden-Württemberg;Baden-Wuerttemberg;8.2;7.0;6.0;6.4;7.0;6.9;7.0;6.7;6.9;6.5;5.6;5.0;5.0;4.4;4.1;3.5;2.6;3.4;3.4;3.4;3.3;2.8;2.4;2.8;2.6;2.1;2.5;2.4;1.9;1.3;1.2;1.2;1.2;1.3;1.5;1.4;1.5;1.4;1.4;1.1;1.0;1.3;1.3;1.2;1.2;1.3;1.2;1.0;1.5;1.6;1.7;1.8;1.9;1.6;1.5;1.9;2.1;2.2;2.0;1.7;1.4;1.3;1.7;1.5;1.5;1.7;1.8;1.6;1.6;1.9;2.0;2.2;2.1;2.4;2.2;2.0;3.0;3.0;2.7;3.6;3.7;3.2;2.9;3.3;3.9;3.7;3.9;3.3;2.9;2.7;3.7;3.6;3.3;3.1;3.1;2.9;3.0;3.4;3.5;4.4;4.7;5.4;5.4;5.5;6.8;7.7;8.7;9.7;11.4;12.4;13.4;13.1;13.6;13.5;13.7;14.0;14.2;14.4;13.9;13.3;12.9;12.7;13.1;13.0;13.2;14.0;13.8;13.6;13.0;13.0;12.1;12.9;11.5;13.2;13.2;14.1;14.9;14.3;14.8;15.3;14.1;13.6;12.5;12.7;10.9;13.7;14.8;14.6;14.2;15.1;13.4;15.6;15.9;16.4;17.7;20.6;22.5;23.6;25.8;28.7;31.6;32.4;34.6;38.1;42.2;42.7;46.3;47.5;48.8;53.5;61.3;67.5;75.2;80.5;84.5;91.1;95.9;99.1;106.6;113.4;116.3;116.8;117.8;121.5;;;;;;;;;;;;
Rheinland-Pfalz;Rhineland-Palatine;5.1;4.3;3.8;3.9;3.6;4.2;4.5;3.9;3.7;3.6;3.9;3.2;3.8;4.2;3.9;3.6;3.1;2.7;2.6;2.4;2.0;1.6;1.9;2.3;2.5;2.4;2.6;2.4;1.6;1.3;1.4;1.7;1.7;1.9;1.9;2.3;2.3;1.6;1.4;1.2;1.2;1.0;0.8;1.1;1.3;1.5;1.6;1.7;1.6;1.4;1.4;1.3;1.5;1.4;1.7;1.8;2.0;2.2;2.6;2.5;2.3;2.2;2.1;1.6;1.2;1.3;1.4;1.7;2.1;2.4;2.9;3.5;3.5;3.5;3.1;3.1;3.0;2.6;2.8;2.6;2.6;2.5;2.5;2.2;2.2;2.4;2.4;2.8;2.5;2.6;3.2;3.5;4.1;4.7;5.2;5.4;6.7;6.6;7.5;7.1;8.4;7.8;7.1;7.5;8.0;9.6;10.5;10.7;11.4;10.8;11.3;10.0;9.4;8.9;8.3;7.7;8.4;9.0;8.8;9.1;8.7;8.6;7.3;6.2;6.6;7.3;7.4;8.4;8.5;7.9;8.4;8.9;8.0;8.3;8.6;8.8;7.9;7.8;8.3;8.7;8.7;8.0;8.9;8.5;8.5;10.0;10.4;10.9;10.3;11.1;11.8;11.2;12.0;13.5;14.1;16.3;16.0;18.4;18.8;22.3;22.9;24.5;26.0;26.8;31.6;31.8;35.4;39.4;39.7;45.3;50.5;57.4;58.1;65.4;72.3;80.3;82.7;86.0;96.6;97.0;98.9;107.9;106.7;112.0;;;;;;;;;;;;
Sachsen;Saxony;3.7;4.0;3.8;4.2;4.0;4.5;5.1;4.0;4.2;4.0;3.6;3.6;3.7;3.4;3.2;3.2;2.6;2.6;2.3;2.5;2.2;1.7;1.3;1.6;1.6;1.7;1.6;1.4;1.1;0.8;0.5;0.5;0.5;0.6;0.7;0.7;0.7;0.6;0.5;0.4;0.4;0.4;0.3;0.4;1.0;1.5;1.5;1.5;1.4;1.9;1.2;0.9;0.8;0.6;0.4;0.5;0.3;0.4;0.3;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.3;0.3;0.3;0.3;0.6;0.5;0.5;0.5;0.6;0.6;0.6;0.5;0.5;0.7;0.6;0.6;0.6;0.6;0.5;0.7;0.8;1.2;2.1;2.1;2.0;2.3;2.4;2.3;1.8;1.8;1.9;1.8;1.6;1.6;1.6;1.6;1.7;2.0;2.0;1.8;1.7;1.9;2.5;2.8;2.9;2.9;3.4;3.6;3.9;4.0;4.4;4.4;4.4;3.1;3.1;3.9;3.8;5.0;5.1;5.9;6.0;5.8;6.1;6.4;6.7;6.2;6.2;7.2;6.9;7.6;7.2;8.3;8.2;8.4;8.1;7.8;8.0;7.0;6.7;7.4;7.9;7.4;9.4;10.4;13.5;16.6;18.1;19.6;21.0;21.7;26.3;25.4;30.9;31.7;37.9;40.1;41.8;48.0;52.7;54.5;65.4;71.2;72.8;68.3;78.2;89.9;92.5;97.0;109.6;114.4;112.2;105.3;;;;;;;;;;;;
Hamburg;Hamburg;5.2;4.6;4.7;4.8;4.3;4.6;4.5;4.0;3.1;2.6;2.4;2.4;2.7;2.4;2.2;2.0;1.7;1.2;1.2;1.3;1.2;1.2;0.8;0.7;0.4;0.5;0.5;0.9;0.7;0.8;1.4;1.3;1.4;1.2;1.1;1.3;0.9;1.1;1.2;1.1;1.4;1.4;1.4;1.2;0.9;1.0;1.0;1.4;1.3;1.5;1.1;1.4;1.5;1.3;2.0;2.2;1.8;1.6;1.5;1.3;1.4;1.0;1.0;1.0;0.9;0.8;0.9;0.8;0.8;0.6;0.4;0.4;0.3;0.5;0.7;0.8;0.8;0.8;1.1;2.2;2.8;3.4;4.3;4.3;4.5;4.1;5.1;4.9;4.1;5.5;5.6;5.7;5.5;6.7;10.0;12.0;12.4;10.9;12.1;10.3;9.6;9.3;9.0;8.7;7.7;7.4;6.5;6.8;6.6;6.1;7.5;8.2;7.9;7.4;7.5;7.1;8.1;8.1;7.6;8.9;9.0;10.4;11.4;11.1;10.0;10.9;9.2;11.6;12.8;14.4;14.9;13.8;13.7;14.5;13.3;13.1;13.6;16.1;15.0;16.1;17.0;18.3;17.2;19.7;20.9;22.0;22.8;23.2;22.3;22.1;21.2;23.2;24.2;26.3;27.5;27.1;29.7;29.2;30.2;28.9;27.8;28.9;30.5;32.6;26.3;38.7;42.9;40.2;46.1;46.5;52.8;63.0;71.0;74.8;83.7;87.7;92.5;93.4;92.9;100.7;104.6;101.4;100.2;99.8;;;;;;;;;;;;
