

Berichtsdatum;Anzahl COVID-19-Fälle;;Differenz Vortag Fälle;Todesfälle;Differenz Vortag Todesfälle;Fall-Verstorbenen-Anteil;Fälle ohne Todesfälle;;;;;;;;;;;
02-25-20;16;;;;;;16;;;;;;;;;;;
02-26-20;21;;5;;;;21;;;;;;;;;;;
02-27-20;26;;5;;;;26;;;;;;;;;;;
02-28-20;53;;27;;;;53;;;;;;;;;;;
02-29-20;66;;13;;;;66;;;;;;;;;;;
03-01-20;117;;51;;;;117;;;;;;;;;;;
03-02-20;150;;33;;;;150;;;;;;;;;;;
03-03-20;188;;38;;;;188;;;;;;;;;;;
03-04-20;240;;52;;;;240;;;;;;;;;;;
03-05-20;349;;109;;;;349;;;;;;;;;;;
03-06-20;534;;185;;;;534;;;;;;;;;;;
03-07-20;684;;150;;;;684;;;;;;;;;;;
03-08-20;847;;163;;;;847;;;;;;;;;;;
03-09-20;1112;;265;2;2;1.7985611510791368E-3;1110;;;;;;;;;;;
03-10-20;1296;;184;2;0;1.5432098765432098E-3;1294;;;;;;;;;;;
03-11-20;1567;;271;3;1;1.9144862795149968E-3;1564;;;;;;;;;;;
03-12-20;2369;;802;5;2;2.1105951878429719E-3;2364;;;;;;;;;;;
03-13-20;3062;;693;5;0;1.6329196603527107E-3;3057;;;;;;;;;;;
03-14-20;3795;;733;8;3;2.1080368906455861E-3;3787;;;;;;;;;;;
03-15-20;4838;;1043;12;4;2.4803637866887144E-3;4826;;;;;;;;;;;
03-16-20;6012;;1174;12;0;1.996007984031936E-3;6000;;;;;;;;;;;
03-17-20;7156;;1144;12;0;1.6769144773616546E-3;7144;;;;;;;;;;;
03-18-20;8198;;1042;12;0;1.463771651622347E-3;8186;;;;;;;;;;;
03-19-20;10999;;2801;20;8;1.8183471224656788E-3;10979;;;;;;;;;;;
03-20-20;13957;;2958;31;11;2.2211076878985454E-3;13926;;;;;;;;;;;
03-21-20;16662;;2705;47;16;2.8207898211499221E-3;16615;;;;;;;;;;;
03-22-20;18610;;1948;55;8;2.9554003224073078E-3;18555;;;;;;;;;;;
03-23-20;22672;;4062;86;31;3.7932251235003531E-3;22586;;;;;;;;;;;
03-24-20;27436;;4764;114;28;4.1551246537396124E-3;27322;;;;;;;;;;;
03-25-20;31554;;4118;149;35;4.7220637637066616E-3;31405;;;;;;;;;;;
03-26-20;36508;;4954;198;49;5.4234688287498629E-3;36310;;;;;;;;;;;
03-27-20;42288;;5780;253;55;5.9827847143397658E-3;42035;;;;;;;;;;;
03-28-20;48582;;6294;325;72;6.6897204726030215E-3;48257;;;;;;;;;;;
03-29-20;52547;;3965;389;64;7.4028964546025465E-3;52158;;;;;;;;;;;
03-30-20;57298;;4751;455;66;7.9409403469580097E-3;56843;;;;;;;;;;;
03-31-20;61913;;4615;583;128;9.4164391969376385E-3;61330;;;;;;;;;;;
04-01-20;67366;;5453;732;149;1.0866015497431939E-2;66634;;;;;;;;;;;
04-02-20;73522;;6156;872;140;1.1860395527869209E-2;72650;;;;;;;;;;;
04-03-20;79696;;6174;1017;145;1.276099176872114E-2;78679;;;;;;;;;;;
04-04-20;85778;;6082;1158;141;1.3499965025997342E-2;84620;;;;;;;;;;;
04-05-20;91714;;5936;1342;184;1.4632444337832827E-2;90372;;;;;;;;;;;
04-06-20;95391;;3677;1434;92;1.5032864735666887E-2;93957;;;;;;;;;;;
04-07-20;99225;;3834;1607;173;1.6195515243134291E-2;97618;;;;;;;;;;;
04-08-20;103228;;4003;1861;254;1.8028054403843918E-2;101367;;;;;;;;;;;
