
Stand: 21.12.2020 05:21:53;;;


Landkreis;LKNR;Anzahl;Inzidenz
StadtRegion Aachen;05334;1057;189.757749
LK Ahrweiler;07131;169;129.914057
LK Aichach-Friedberg;09771;204;151.498273
LK Alb-Donau-Kreis;08425;359;182.163226
LK Altenburger Land;16077;471;526.886893
LK Altenkirchen;07132;146;113.349637
LK Altmarkkreis Salzwedel;15081;93;111.815132
LK Altötting;09171;186;166.792209
LK Alzey-Worms;07331;195;150.362025
SK Amberg;09361;52;123.202312
LK Amberg-Sulzbach;09371;235;228.046851
LK Ammerland;03451;133;106.520155
LK Anhalt-Bitterfeld;15082;323;203.803491
SK Ansbach;09561;41;98.090818
LK Ansbach;09571;245;132.725864
SK Aschaffenburg;09661;213;299.99155
LK Aschaffenburg;09671;349;200.344432
SK Augsburg;09761;745;251.195285
LK Augsburg;09772;568;224.091404
LK Aurich;03452;74;39.010195
LK Bad Dürkheim;07332;174;131.151495
LK Bad Kissingen;09672;179;173.390807
LK Bad Kreuznach;07133;278;175.566011
LK Bad Tölz-Wolfratshausen;09173;161;125.862864
SK Baden-Baden;08211;85;154.027363
SK Bamberg;09461;153;197.743399
LK Bamberg;09471;238;161.725434
LK Barnim;12060;228;123.08091
LK Bautzen;14625;1935;645.52072
SK Bayreuth;09462;123;164.475884
LK Bayreuth;09472;237;228.623244
LK Berchtesgadener Land;09172;150;141.604282
LK Bergstraße;06431;567;209.735888
SK Berlin Charlottenburg-Wilmersdorf;11004;538;160.884686
SK Berlin Friedrichshain-Kreuzberg;11002;690;244.62967
SK Berlin Lichtenberg;11011;433;151.122776
SK Berlin Marzahn-Hellersdorf;11010;522;198.503995
SK Berlin Mitte;11001;969;258.236106
SK Berlin Neukölln;11008;761;236.980845
SK Berlin Pankow;11003;636;159.784542
SK Berlin Reinickendorf;11012;809;311.52648
SK Berlin Spandau;11005;615;257.301721
SK Berlin Steglitz-Zehlendorf;11006;523;173.077369
SK Berlin Tempelhof-Schöneberg;11007;570;166.777852
SK Berlin Treptow-Köpenick;11009;568;213.142806
LK Bernkastel-Wittlich;07231;120;106.682788
LK Biberach;08426;515;255.859938
SK Bielefeld;05711;690;206.466285
LK Birkenfeld;07134;92;113.648998
LK Bitburg-Prüm;07232;119;120.13164
LK Böblingen;08115;644;163.948198
SK Bochum;05911;823;225.117414
LK Bodenseekreis;08435;411;188.991585
SK Bonn;05314;793;240.541385
LK Börde;15083;334;195.409629
LK Borken;05554;686;184.736858
SK Bottrop;05512;253;215.200102
SK Brandenburg a.d.Havel;12051;92;127.452067
SK Braunschweig;03101;225;90.214349
LK Breisgau-Hochschwarzwald;08315;357;135.43196
SK Bremen;04011;766;134.963942
SK Bremerhaven;04012;123;108.233679
LK Burgenlandkreis;15084;415;232.04321
LK Calw;08235;522;327.887388
LK Celle;03351;132;73.738485
LK Cham;09372;192;150.002344
SK Chemnitz;14511;917;372.258803
LK Cloppenburg;03453;289;169.320725
SK Coburg;09463;161;391.994546
LK Coburg;09473;277;319.3194
LK Cochem-Zell;07135;97;158.044807
LK Coesfeld;05558;236;106.987751
SK Cottbus;12052;70;70.226128
LK Cuxhaven;03352;85;42.921056
LK Dachau;09174;202;130.407556
LK Dahme-Spreewald;12061;317;185.60697
SK Darmstadt;06411;232;145.110647
LK Darmstadt-Dieburg;06432;636;213.534602
LK Deggendorf;09271;378;316.376237
SK Delmenhorst;03401;138;177.92906
SK Dessau-Roßlau;15001;168;209.729973
LK Diepholz;03251;295;135.888967
LK Dillingen a.d.Donau;09773;143;148.091382
LK Dingolfing-Landau;09279;179;185.141131
LK Dithmarschen;01051;83;62.315587
LK Donau-Ries;09779;238;177.900032
LK Donnersbergkreis;07333;121;160.637239
SK Dortmund;05913;1126;191.415215
SK Dresden;14612;1707;306.584288
SK Duisburg;05112;1092;218.975468
LK Düren;05358;637;240.706172
SK Düsseldorf;05111;773;124.301108
LK Ebersberg;09175;308;214.411517
LK Eichsfeld;16061;406;405.975641
LK Eichstätt;09176;216;162.551456
SK Eisenach;16056;92;217.751479
LK Elbe-Elster;12062;376;369.253734
SK Emden;03402;24;48.083666
LK Emmendingen;08316;292;175.472333
LK Emsland;03454;348;106.436991
LK Ennepe-Ruhr-Kreis;05954;604;186.358784
LK Enzkreis;08236;568;284.631883
LK Erding;09177;281;203.354996
SK Erfurt;16051;274;128.048752
SK Erlangen;09562;185;164.403526
LK Erlangen-Höchstadt;09572;234;170.476898
LK Erzgebirgskreis;14521;1645;491.12101
SK Essen;05113;1164;199.739172
LK Esslingen;08116;1004;187.655133
LK Euskirchen;05366;363;187.44578
SK Flensburg;01001;60;66.545406
LK Forchheim;09474;251;216.001308
SK Frankenthal;07311;124;254.296378
SK Frankfurt (Oder);12053;130;225.104327
SK Frankfurt am Main;06412;1346;176.321098
SK Freiburg i.Breisgau;08311;296;128.03045
LK Freising;09178;370;205.547562
LK Freudenstadt;08237;257;217.349019
LK Freyung-Grafenau;09272;285;363.69669
LK Friesland;03455;77;78.011023
LK Fulda;06631;531;237.961863
LK Fürstenfeldbruck;09179;415;189.228994
SK Fürth;09563;312;242.807225
LK Fürth;09573;230;195.158375
LK Garmisch-Partenkirchen;09180;155;175.291776
SK Gelsenkirchen;05513;541;208.361417
SK Gera;16052;403;432.751678
LK Germersheim;07334;210;162.774294
LK Gießen;06531;734;271.160894
LK Gifhorn;03151;380;215.269398
LK Göppingen;08117;542;209.959519
LK Görlitz;14626;1686;667.128302
LK Goslar;03153;111;81.442785
LK Gotha;16067;311;230.527471
LK Göttingen;03159;295;90.479418
LK Grafschaft Bentheim;03456;289;210.699756
LK Greiz;16076;290;297.747387
LK Groß-Gerau;06433;540;195.846601
LK Günzburg;09774;305;240.106434
LK Gütersloh;05754;955;261.688287
SK Hagen;05914;308;163.234156
SK Halle;15002;325;136.118813
SK Hamburg;02000;2725;147.516339
LK Hameln-Pyrmont;03252;155;104.342675
SK Hamm;05915;291;161.742146
Region Hannover;03241;1614;139.484839
LK Harburg;03353;255;100.223636
LK Harz;15085;370;173.456472
LK Haßberge;09674;139;164.72317
LK Havelland;12063;270;165.648237
LK Heidekreis;03358;147;104.497665
SK Heidelberg;08221;225;139.331826
LK Heidenheim;08135;212;159.666207
SK Heilbronn;08121;454;358.632457
LK Heilbronn;08125;893;259.249367
LK Heinsberg;05370;362;141.652482
LK Helmstedt;03154;80;87.626099
LK Herford;05758;532;212.309141
SK Herne;05916;395;252.478443
LK Hersfeld-Rotenburg;06632;346;286.616026
LK Herzogtum Lauenburg;01053;166;83.83034
LK Hildburghausen;16069;242;382.929569
LK Hildesheim;03254;254;92.090045
LK Hochsauerlandkreis;05958;283;108.93959
LK Hochtaunuskreis;06434;256;108.056088
SK Hof;09464;188;410.25641
LK Hof;09475;276;291.136169
LK Hohenlohekreis;08126;206;182.859172
LK Holzminden;03255;49;69.544977
LK Höxter;05762;124;88.412917
LK Ilm-Kreis;16070;321;302.120491
SK Ingolstadt;09161;298;216.897636
SK Jena;16053;203;182.319499
LK Jerichower Land;15086;127;141.758475
SK Kaiserslautern;07312;131;130.960712
LK Kaiserslautern;07335;133;125.496561
SK Karlsruhe;08212;466;149.330257
LK Karlsruhe;08215;988;221.972092
SK Kassel;06611;366;181.065317
LK Kassel;06633;454;191.752124
SK Kaufbeuren;09762;49;110.365332
LK Kelheim;09273;223;181.215362
SK Kempten;09763;149;215.470492
SK Kiel;01002;262;106.161414
LK Kitzingen;09675;143;156.875651
LK Kleve;05154;397;127.05423
SK Koblenz;07111;160;140.286887
SK Köln;05315;1844;169.506638
LK Konstanz;08335;386;134.821257
SK Krefeld;05114;330;145.107886
LK Kronach;09476;147;220.247816
LK Kulmbach;09477;128;178.855881
LK Kusel;07336;66;93.991655
LK Kyffhäuserkreis;16065;181;243.895866
LK Lahn-Dill-Kreis;06532;429;169.351687
SK Landau i.d.Pfalz;07313;73;155.713402
LK Landsberg a.Lech;09181;153;127.179931
SK Landshut;09261;117;159.37666
LK Landshut;09274;259;161.9813
LK Leer;03457;96;56.220572
SK Leipzig;14713;1321;222.711141
