
Stand: 30.11.2020 05:36:56;;;;


Bundesland;Fälle in den letzten 7 Tagen;7-Tage-Inzidenz;;
Baden-Württemberg;14723;132.6;;
Bayern;22983;175.1;;
Berlin;7301;199.0;;
Brandenburg;2419;95.9;;
Bremen;633;92.9;;
Hamburg;1471;79.6;;
Hessen;9393;149.4;;
Mecklenburg-Vorpommern;757;47.1;;
Niedersachsen;6619;82.8;;
Nordrhein-Westfalen;26479;147.5;;
Rheinland-Pfalz;4815;117.6;;
Saarland;1097;111.2;;
Sachsen;9874;242.5;;
Sachsen-Anhalt;2155;98.2;;
Schleswig-Holstein;1330;45.8;;
Thüringen;3033;142.2;;
Gesamt;115082;138.4;;







Berichtsdatum;Fälle gesamt;;;Todesfälle
30.11.2020;1053869;;;16248



Bev;;;;
83166711;;;;
