Die dem RKI übermittelten COVID-19-Fälle nach Meldewoche und  Geschlecht sowie Anteile mit für COVID-19 relevanten Symptomen, Anteile Hospitalisierter und Verstorbener für die Meldewochen KW 10 – 53/2020 und KW 01 - 15/2021;;;;;;;;;;;;
Meldejahr;MW;Fälle gesamt;Mittelwert Alter (Jahre);Männer;Frauen;Anzahl mit Angaben zu Symptomen;Anteil keine, bzw. keine für COVID-19 bedeutsamen Symptome;Anzahl mit Angaben zur Hospitalisierung;Anzahl hospitalisiert;Anteil hospitalisiert;Anzahl Verstorben;Anteil Verstorben
2020;10;897;43;0.52954292084726873;0.47045707915273133;836;8.3732057416267949E-2;809;165;0.20395550061804696;12;1.337792642E-2
2020;11;6429;45;0.56262641979150463;0.43737358020849543;5765;5.3252385082393758E-2;5631;533;9.4654590658852775E-2;85;1.3221340789999999E-2
2020;12;22415;45;0.54992634914966743;0.45007365085033252;20159;3.8940423632124611E-2;19381;2229;0.11500954543109231;478;2.132500557E-2
2020;13;33971;48;0.49488909181960117;0.50511090818039883;30824;3.2928886581884247E-2;29520;5143;0.17422086720867208;1463;4.3066144649999999E-2
2020;14;36058;51;0.45076325284485153;0.54923674715514847;32041;5.5522611653818547E-2;31619;6091;0.19263733830924445;2260;6.2676798490000005E-2
2020;15;27160;52;0.43469605927673538;0.56530394072326462;23583;8.4637238688886063E-2;24152;4730;0.19584299436899635;1878;6.9145802650000004E-2
2020;16;17345;51;0.44724691215514256;0.55275308784485744;14877;0.115;15530;3379;0.2175788795878944;1217;7.0164312480000005E-2
2020;17;12360;50;0.44980960868508468;0.55019039131491532;10270;0.139;10983;2240;0.20395156150414276;721;5.8333333330000001E-2
2020;18;7437;48;0.47779870828848225;0.52220129171151775;6257;0.176;6609;1365;0.20653654108034497;386;5.1902648910000002E-2
2020;19;6237;47;0.48017974642914463;0.51982025357085537;5252;0.197;5630;1081;0.19200710479573713;257;4.1205707869999997E-2
2020;20;4762;45;0.49537426408746849;0.50462573591253157;3946;0.232;4244;763;0.17978322337417529;164;3.4439311209999997E-2
2020;21;3609;43;0.50305725403001667;0.49694274596998333;2837;0.265;3120;513;0.16442307692307692;113;3.1310612350000003E-2
2020;22;3204;42;0.51566416040100249;0.48433583959899751;2548;0.232;2769;421;0.15204044781509571;65;2.028714107E-2
2020;23;2352;39;0.50660417554324666;0.49339582445675328;1838;0.232;2080;308;0.14807692307692308;45;1.9132653060000001E-2
2020;24;2342;37;0.5358215358215358;0.4641784641784642;1743;0.244;2088;288;0.13793103448275862;33;1.409052092E-2
2020;25;4126;36;0.58814958717824184;0.41185041282175816;2937;0.251;3772;319;8.4570519618239665E-2;41;9.9369849699999999E-3
2020;26;3212;37;0.55143391521197005;0.44856608478802995;2330;0.233;2863;296;0.10338805448829899;23;7.1606475700000003E-3
2020;27;2690;36;0.52138341390851617;0.47861658609148383;2066;0.267;2463;259;0.10515631343889566;26;9.6654275000000005E-3
2020;28;2427;36;0.5590421139554087;0.44095788604459124;1935;0.239;2193;256;0.11673506611947104;25;1.0300782850000001E-2
2020;29;3014;36;0.52477552377785164;0.47522447622214831;2359;0.230;2645;317;0.11984877126654064;30;9.9535500900000008E-3
2020;30;3929;36;0.52334779280428678;0.47665220719571322;3183;0.274;3478;334;9.6032202415181137E-2;33;8.3990837299999996E-3
2020;31;4822;36;0.5021815915229586;0.49781840847704134;3715;0.246;4175;389;9.3173652694610781E-2;32;6.6362505100000004E-3
2020;32;6058;34;0.53670634920634919;0.46329365079365081;4556;0.300;5287;399;7.5468129373936071E-2;31;5.1172003899999999E-3
2020;33;7949;32;0.53409807134753562;0.46590192865246438;5855;0.333;7009;439;6.2633756598658871E-2;30;3.7740596299999998E-3
2020;34;9591;32;0.54729446308724827;0.45270553691275167;7211;0.345;8310;434;5.2226233453670279E-2;30;3.12793243E-3
