KW, für die die Angabe prognostisch erfolgt ist;Anzahl übermittelnde Labore;Testkapazität pro Tag;Theoretische wöchentliche Kapazität anhand von Wochenarbeitstagen;Reale wöchentliche Testkapazität zum Zeitpunkt der Abfrage;
11/2020;27;16920;80300;39000;
12/2020;38;33620;164050;117750;
13/2020;107;78360;149820;128000;
14/2020;126;117030;165960;136660;
15/2020;132;128580;375420;259650;
16/2020;138;139604;831046;589620;
17/2020;135;140616;901595;667170;
18/2020;138;144980;955891;701268;
19/2020;135;151063;981515.002;777476;
20/2020;139;156630;1030122.5;825063;
21/2020;139;159588;1057365.5;837380;
22/2020;146;159974;1033129;821554;
23/2020;146;167525;1115162.5;904760;
24/2020;144;169653;1096075;907022;
25/2020;141;169858;1123147.5;951456;
26/2020;143;172624;1131748;950136;
27/2020;147;170313;1120015;961246;
28/2020;152;179914;1196640.00001;989576;
29/2020;155;181011;1202855;1011165;
30/2020;155;183567;1218086;1009137;
31/2020;159;183310;1214556;1029124;
32/2020;158;182697;1200692;1009346;
33/2020;155;189338;1252357;976187;
34/2020;164;198518;1308423;1035958;
35/2020;171;208419;1362883;1126195;
36/2020;171;211002;1376233;1089353;
37/2020;171;223899;1458751;1130813;
38/2020;172;230691;1512155;1206181;
39/2020;174;235674;1540049;1292743;
40/2020;169;238740;1564437;1378063;
41/2020;173;258089;1705581;1527677;
42/2020;173;255622;1700116;1505312;
43/2020;188;268521;1790564;1578454;
44/2020;183;285630;1910486;1648626;
45/2020;185;297894;1937312;1622662;
46/2020;182;305683;2020253;1710271;
47/2020;181;313386;2079778;1821960;
48/2020;177;320686;2141208;1868184;
49/2020;181;329486;2202408;1958814;
50/2020;180;333476;2235788;1954270;
51/2020;180;342616;2290632;2029684;
52/2020;187;338390;1465033.7;1284895;
53/2020;185;331055;1331534.94;1190932;
1/2021;183;335608;2129456;1891309;
2/2021;183;338746;2248174;2020530;
3/2021;182;347237;2321303;2149827;
4/2021;183;354177;2368097;2180930;
5/2021;182;354011;2376839;2208506;
6/2021;183;354485;2378145;2247447;
7/2021;187;350601;2344259.714286;2219267;
8/2021;183;363862;2442710;2319328;
9/2021;185;359585;2391289;2274497;
10/2021;187;358485;2386839;2264447;
11/2021;187;360911;2414443;2304591;
12/2021;182;351649;2356203;2251915;
13/2021;180;351313;2329923;2221205;
14/2021;182;353705;2336559;2229117;
15/2021;182;353935;2315917;2248479;
16/2021;182;357961;2397963;2315015;
17/2021;175;352491;2369333;2300095;
