;Labore mit Rückstau;KW;Probenrückstau;
1;24;15;3423;
2;35;16;2259;
3;28;17;2243;
4;30;18;3790;
5;29;19;3224;
6;29;20;1552;
7;29;21;1578;
8;26;22;1454;
9;27;23;2478;
10;27;24;1646;
11;22;25;553;
12;31;26;3056;
13;21;27;960;
14;25;28;3242;
15;22;29;1483;
16;20;30;1256;
17;24;31;1274;
18;35;32;10693;
19;44;33;17143;
20;48;34;27828;
21;49;35;36812;
22;47;36;29964;
23;51;37;32397;
24;42;38;12617;
25;46;39;15983;
26;42;40;8245;
27;46;41;16829;
28;52;42;20799;
29;57;43;69524;
30;69;44;98931;
31;66;45;60113;
32;59;46;23780;
33;50;47;17207;
34;54;48;14191;
35;51;49;12267;
36;51;50;19159;
37;57;51;21364;
38;43;52;11321;
39;39;53;6507;
40;47;1;11691;
41;46;2;11336.5461;
42;48;3;11980;
43;42;4;5572;
44;42;5;6202;
45;46;6;5850;
46;44;7;6820;
;;;;
;;;;
