
KW, für die die Angabe prognostisch erfolgt ist:;Anzahl übermittelnde Labore;Testkapazität pro Tag;Theoretische wöchentliche Kapazität anhand von Wochenarbeitstagen;Reale Testkapazität zum Zeitpunkt der Abfrage
2020, KW11;28;7115;-;-
2020, KW12;93;31010;-;-
2020, KW13;111;64725;-;185655.005
2020, KW14;113;103515;-;284580.19
2020, KW15;132;116655;-;462880.0053
2020, KW16;112;123304;730156;596910.045
2020, KW17;126;136064;818426;580890
2020, KW18;133;141815;860494;741399
2020, KW19;137;153698;964962;820491
2020, KW20;134;157150;1038222.5;831816.0035
2020, KW21;136;159418;1050675.5;874362
2020, KW22;143;156824;1017179;888561
2020, KW23;137;161911;1083345;896041
2020, KW24;139;168748;1092448;939801
2020, KW25;138;166445;1099354.5;974698
2020, KW26;137;169473;1112075;1010309
2020, KW27;137;169501;1118354;994060
2020, KW28;145;176898;1174960;1003758
2020, KW29;146;176046;1178008;1020962
2020, KW30;145;177687;1182599;1041871.025
2020, KW31;145;180539;1203852;1063581
2020, KW32;149;177442;1167188;1063790
2020, KW33;151;183977;1220992;1048585
2020, KW34;157;191768;1267655;1153170
2020, KW35;163;210142;1402475;1306192
2020, KW36;168;202761;1345787;1155779
2020, KW37;168;217499;1440471;1154136.69
2020, KW38;165;219092;1455142;1217216
2020, KW39;170;228348;1516162;1339112
2020, KW40;168;232334;1541289;1354917
2020, KW41;166;235365;1573748;1457887
2020, KW42;164;256100;1712246;1568002
2020, KW43;167;262817;1755794;1606830
2020, KW44;184;272397;1828061;1612826
2020, KW45;176;289310;1900642;1596042
2020, KW46;170;292639;1959403;1677221
2020, KW47;175;307336;2063178;1812210
2020, KW48;169;313746;2100608;1837984
2020, KW49;168;318746;2136828;1918794
2020, KW50;175;331036;2219158;1944190
2020, KW51;175;339156;2268312;2019604
2020, KW52;181;204862.4;1364843.28;1203720.93
2020, KW53;173;208789.75;1355677.05;1227355.35
2021, KW1;177;331086;2098574;1874827
2021, KW2;176;334756;2222744;2017760
2021, KW3;173;339447;2273073;2121357
2021, KW4;173;344287;2310717;2207810
2021, KW 5;173;346155;2329447;2237756
